preprocess,seed_a,seed_b,ari,nmi,label_agreement,centroid_cosine
raw_l2,0,1,0.09398158527170018,0.08453517711552633,0.4930808608774319,0.6398250063260397
raw_l2,0,2,0.1330936026364226,0.12261407606788692,0.5060639337468658,0.6702025731404623
raw_l2,0,3,0.09940176602473343,0.09761655465417317,0.5100354723360847,0.6777002215385437
raw_l2,0,4,0.20404662900904671,0.18911805420202593,0.6020832715013251,0.7626002828280131
raw_l2,0,5,0.11236407042652274,0.10881274166581509,0.48801118582249764,0.6601094206174215
raw_l2,0,6,0.06357874131422746,0.05489608201009625,0.4802923527271488,0.6440280775229136
raw_l2,0,7,0.03199277860624415,0.032480015037168505,0.4186098405778462,0.5813991030057272
raw_l2,0,8,0.04991198015321404,0.0515186036505577,0.42161295251411696,0.5999235113461813
raw_l2,0,9,0.08460378932713075,0.08562643273463533,0.4481287161036931,0.6243613560994467
raw_l2,0,10,0.11462718378745579,0.10329374221279189,0.5150435901917397,0.6776237090428671
raw_l2,0,11,0.16355578059253106,0.14573571822487716,0.5551898764788842,0.6990680495897929
raw_l2,0,12,0.10738254741511825,0.10649608988775373,0.5202671582448724,0.6897046566009521
raw_l2,0,13,0.14036329416896492,0.1431992822361656,0.4599158205299855,0.6152510046958923
raw_l2,0,14,0.1793380371472014,0.16232218866185652,0.5746595392223787,0.7052931984265646
raw_l2,0,15,0.14021034475219007,0.13378425608415517,0.5093858240365474,0.665746827920278
raw_l2,0,16,0.13420583913002598,0.12080723084041373,0.5056879951369813,0.6750530004501343
raw_l2,0,17,0.20762861018455556,0.1866322554984225,0.6273865781122385,0.785929799079895
raw_l2,0,18,0.08922992283223115,0.07469440065950024,0.4834438614831108,0.6337262392044067
raw_l2,0,19,0.1632730803316124,0.156528670746744,0.5424948033632215,0.7107746799786886
raw_l2,1,2,0.17609137472898145,0.1660729513203447,0.5897564423456371,0.729997456073761
raw_l2,1,3,0.1430539707984163,0.13763303396092522,0.5505631934116209,0.6981110572814941
raw_l2,1,4,0.08477443945675128,0.07756244334846218,0.5050966063296191,0.647551953792572
raw_l2,1,5,0.07039731693262011,0.07778006825127397,0.4358403601975546,0.5992945631345113
raw_l2,1,6,0.18416164371501048,0.1600997562946791,0.590768838426642,0.7279508113861084
raw_l2,1,7,0.22521402854796888,0.2051482807804659,0.5669527977197455,0.6792050202687582
raw_l2,1,8,0.06765697411562081,0.05985777712662603,0.5039061340649846,0.6596575180689493
raw_l2,1,9,0.10533286276362393,0.10449508662198065,0.48434853246537685,0.6427258849143982
raw_l2,1,10,0.157874415489783,0.14796517995553746,0.5659327069888307,0.6973956028620402
raw_l2,1,11,0.23865116567572184,0.2229046824230963,0.6451293415688072,0.7775402863820394
raw_l2,1,12,0.21016423902131082,0.18659932461281445,0.6182563263762706,0.7575450340906779
raw_l2,1,13,0.13197419947990718,0.1110166694340615,0.558562331610831,0.7071996132532755
raw_l2,1,14,0.12878126943373827,0.12986043191514512,0.5359499539969859,0.6942618489265442
raw_l2,1,15,0.1020947817619655,0.10154650074642192,0.4723162984776685,0.6115508079528809
raw_l2,1,16,0.09325699837473093,0.08681700335400548,0.4678193252231723,0.616400937239329
raw_l2,1,17,0.09354725226142607,0.0985594600618544,0.46150201764712995,0.6211090385913849
raw_l2,1,18,0.12128062649852415,0.1151120382060147,0.5291357918839031,0.6631513436635336
raw_l2,1,19,0.0796287234679043,0.07998418966093243,0.46250122289971785,0.6110863188902537
raw_l2,2,3,0.18406209486479344,0.1799376136083211,0.586488414605325,0.7342356046040853
raw_l2,2,4,0.1087865649982774,0.10577919605578662,0.4960048278432006,0.6551685531934103
raw_l2,2,5,0.1429809760976543,0.13160643173360528,0.5675892551908658,0.7413617571194967
raw_l2,2,6,0.12788527835963098,0.10966298398691383,0.546895043875993,0.6850680708885193
raw_l2,2,7,0.04958550831644868,0.053647702406238604,0.4071799877545143,0.5653067032496134
raw_l2,2,8,0.02954375690670078,0.026513265196710455,0.43104219636087027,0.5882225831349691
raw_l2,2,9,0.1867467984450052,0.1716200053285395,0.6035034840275556,0.7696713805198669
raw_l2,2,10,0.3958820186778797,0.3447718950357705,0.7482794213183573,0.8707781235376993
raw_l2,2,11,0.3057452400537805,0.26774216759837777,0.6826902254862194,0.818681538105011
raw_l2,2,12,0.24816653902564592,0.22988555052191398,0.637944737024347,0.7836050987243652
raw_l2,2,13,0.1730151563063588,0.17729079161054812,0.49706009411656077,0.6450548768043518
raw_l2,2,14,0.11014166378515243,0.09601384012117889,0.4910967404363746,0.6348662873109182
