preprocess,pairwise_ari_mean,pairwise_ari_std,pairwise_ari_median,pairwise_ari_min,pairwise_ari_max,pairwise_nmi_mean,pairwise_nmi_std,pairwise_label_agreement_mean,pairwise_centroid_cosine_mean,num_pairs,medoid_seed,consensus_mean_q,consensus_q_eq_1_frac,consensus_q_ge_0p9_frac,consensus_q_lt_0p7_frac
raw_l2,0.15778008865782717,0.09668596341553003,0.13714142684072594,0.01159193657601784,0.6084895794890691,0.1477578908253237,0.08620248958980044,0.5421600745212379,0.689867146025624,190,10,0.6448780013256784,0.000710106263115256,0.06952885658601575,0.5806184959597592
center_l2,0.17191761246822135,0.09233162475653806,0.15998334225155109,0.019252754237679328,0.5585256505821361,0.16385511897713237,0.08432895319532573,0.5538071768173274,0.4436826383106803,190,10,0.648769625479404,0.014047133028405349,0.08774758910129787,0.583178615908359
zscore_l2,0.20738847728313084,0.09588667219723267,0.1854252311789394,0.03156035604103556,0.6073969317977536,0.19584641042662396,0.08469441265936578,0.5851627016367098,0.5038428490180848,190,9,0.6761234463677405,0.024015002368852935,0.10764595376834488,0.5098398083812326
pca64_l2,0.15768520542224732,0.084673525615532,0.14057169832821895,0.016368801952834987,0.4429511439918147,0.14898142437162848,0.07702965444178014,0.5488594764270929,0.4599330068614922,190,2,0.6546965394960881,0.01340737785018077,0.10284119451745201,0.5805668318817926
pca128_l2,0.17149831611538988,0.0916579850716712,0.1580027636114858,0.01925277620248443,0.557674836530238,0.1635453264319005,0.08386575275362815,0.5530768561882081,0.44223041214833136,190,10,0.6476277943945572,0.013983377357723176,0.08531717896546531,0.5835050889116797
pca128_shrink001_l2,0.01569524104322128,0.011140132777872352,0.012697342443374601,0.000257946474777397,0.05255310698462285,0.014446865582275025,0.010325157308379953,0.3920603709503939,0.10899516813244604,190,2,0.47740872771162207,0.0,0.0,0.9745252126196655
pca192_shrink001_l2,0.01717882280622505,0.01457887433357274,0.013298228895944807,0.0011935199507012327,0.08906172011537189,0.015807771515701837,0.013393475131167704,0.39258876198116294,0.11039273983782581,190,15,0.486073947784106,0.0,0.0,0.9711120857667663
