task,bures_mean,jacobian_bures_distance,absolute_error
tworoom,0.6865519061854847,0.6865519061854847,0.0
pusht,0.36823774254954217,0.36823774254954217,0.0
reacher,0.5295819874067301,0.52958198740673,1.1102230246251565e-16
cube,0.42306893374062043,0.42306893374062043,0.0
