task,num_clusters,normalized_cluster_entropy,eigengap_after_k,prototype_distance_ratio,knn_purity,margin_radius_ratio_mean,tangent_contrast_mean_d8,curvature_tail_mean_d8,flow_persistence_h10,latent_velocity_eta2,action_residual_velocity_eta2,mean_pairwise_response,minimum_pairwise_response,pairwise_uniformity_min_over_mean,response_centroid_spearman,response_boundary_spearman,boundary_min_jacobian_bures_distance,jacobian_bures_distance,jacobian_cosine_distance,jacobian_log_scale_distance,jacobian_subspace_chordal_distance,check1_retained_safety_fraction,check2_prominence_ratio
cube,4,0.9856522224156702,0.0010843552256641908,0.0,0.8250861111111112,1.0266578197479248,0.294167446956429,0.011951844707222244,0.6878866284243091,0.00021475837483778733,0.0002361449664987443,0.06069535249226408,0.033604880714169165,0.550902902492755,0.3333333333333333,0.31428571428571433,0.3869765071341167,0.42306893374062043,0.4510112821016136,0.015536431366478753,0.8465786353575254,0.9599395035076935,0.2919653672366025
pusht,4,0.9638540498717841,0.0015123212105939698,0.0,0.8400511111111112,1.0662881135940552,0.41078010113568264,0.014662603996541993,0.7946364489020498,0.001773358275883005,0.0017760624021269458,0.043625847156702396,0.030677746857014392,0.7028794742623371,0.8666666666666667,0.7714285714285715,0.26414126883639727,0.36823774254954217,0.3667083011122481,0.024314791564106483,0.7709565150516907,0.46682763299232216,0.33013094944494964
reacher,4,0.9768231068065463,0.00011726978387305298,0.0,0.94414,6.036513805389404,0.3953661635210484,0.00030644672439695224,0.7424759422322298,0.0003395180144959951,0.0003396198069783251,0.04275385193345329,0.027538138577632324,0.641929529387926,0.3333333333333333,0.009523809523809526,0.6757096206326499,0.52958198740673,1.09100586361773,0.04956470594305767,0.9040018438593297,0.9023812438919899,0.13368589046944734
tworoom,4,0.9817564062068754,7.57351608127177e-05,0.0,0.9169022222222223,3.9059638182322183,0.3078664948961192,0.0003491907291843419,0.410357990145386,0.007232430709045401,0.007217137791264108,0.048362415683561755,0.04018300512337492,0.8316788871542794,0.7142857142857144,-0.009523809523809526,0.7095613140040387,0.6865519061854847,1.017673446366907,0.02211061188475544,0.9425181662252194,0.8206800371099119,0.12168207281360731
