method,mean_percent,sd_across_finetuning_seeds_percent,num_finetuning_seeds,num_partition_seeds,num_eval_seeds,eval_seed_sd_percent
Official baseline,57.2,,0,0,5,6.870225614927067
Global-FT50,58.53333333333333,0.6110100926607803,3,0,5,5.208052373374285
K-means++,57.86666666666667,0.7999999999999972,3,3,5,5.0163369467806245
Spectral,58.26666666666667,0.48074017006186354,3,3,5,4.624047813530714
Auto-LAP,58.666666666666664,1.4047538337136969,3,1,5,4.995235825502229
