method,mean_percent,sd_across_finetuning_seeds_percent,num_finetuning_seeds,num_partition_seeds,num_eval_seeds,eval_seed_sd_percent
Official baseline,82.0,,0,0,5,2.449489742783178
Global-FT50,78.26666666666667,0.832666399786457,3,0,5,4.949266419908923
K-means++,76.84444444444443,1.3355537067837078,3,3,5,5.317020506891719
Spectral,76.53333333333333,1.5143755588800731,3,3,5,5.852738286865854
Auto-LAP,78.26666666666667,0.832666399786457,3,1,5,4.949266419908923
