config,scope,region,step,mse_mean,mse_std,n_samples
official_lewm,overall,all,1,0.08362626866055853,0.05616985500516145,32517
official_lewm,overall,all,3,0.2720662953703427,0.2421368844033655,32517
official_lewm,overall,all,5,0.5720034741052773,0.4323125155371632,32517
official_lewm,overall,all,10,1.1464728085041709,0.6380968558367578,32517
official_lewm,region,left_room,1,0.08816192700878932,0.05790197993491592,15916
official_lewm,region,doorway_corridor,1,0.12066913899270414,0.10878679118323352,1262
official_lewm,region,right_room,1,0.07587233159623823,0.04518375662885933,15339
official_lewm,region,left_room,3,0.2785998035545762,0.24373042898402505,15916
official_lewm,region,doorway_corridor,3,0.38294962086019635,0.3256885535168888,1262
official_lewm,region,right_room,3,0.2561642109431665,0.22937928349661027,15339
official_lewm,region,left_room,5,0.5789262381926241,0.44224489620072677,15916
official_lewm,region,doorway_corridor,5,0.5906445860402236,0.46698771520410176,1262
official_lewm,region,right_room,5,0.5632866218674446,0.4185224455532746,15339
official_lewm,region,left_room,10,1.1381804252260574,0.6371163781068853,15916
official_lewm,region,doorway_corridor,10,0.7420269741120316,0.6769370095470181,1262
official_lewm,region,right_room,10,1.1883524757091606,0.6236821144709369,15339
global_ft_50ep,overall,all,1,0.006435675105856322,0.010961064459840688,32517
global_ft_50ep,overall,all,3,0.07201496538228734,0.12443855609766556,32517
global_ft_50ep,overall,all,5,0.2154604812888067,0.2657676670719984,32517
global_ft_50ep,overall,all,10,0.6787486031200088,0.5688236345028207,32517
global_ft_50ep,region,left_room,1,0.006262225538579492,0.01257371224004873,15916
global_ft_50ep,region,doorway_corridor,1,0.017211325441034386,0.011437534072781913,1262
global_ft_50ep,region,right_room,1,0.005729094011246719,0.008354772662282652,15339
global_ft_50ep,region,left_room,3,0.07104774963260747,0.11703668349501374,15916
global_ft_50ep,region,doorway_corridor,3,0.12184833869213595,0.18957019457744811,1262
global_ft_50ep,region,right_room,3,0.06891857635789696,0.12426594250035461,15339
global_ft_50ep,region,left_room,5,0.21588179545940425,0.25963756843520386,15916
global_ft_50ep,region,doorway_corridor,5,0.23974647562205129,0.33197385530376256,1262
global_ft_50ep,region,right_room,5,0.21302521424481524,0.2658266888016621,15339
global_ft_50ep,region,left_room,10,0.6827712598372392,0.5543792028576982,15916
global_ft_50ep,region,doorway_corridor,10,0.395894920557668,0.55866336162361,1262
global_ft_50ep,region,right_room,10,0.6978461155446932,0.5782501269960013,15339
rooms3_switch_50ep,overall,all,1,0.006483054894716091,0.013662882320079988,32517
rooms3_switch_50ep,overall,all,3,0.07028513431579138,0.12165676580306377,32517
rooms3_switch_50ep,overall,all,5,0.21013724723202223,0.2613970868773702,32517
rooms3_switch_50ep,overall,all,10,0.6663852618576706,0.5546508552565929,32517
rooms3_switch_50ep,region,left_room,1,0.006136459888373246,0.011476762873496128,15916
rooms3_switch_50ep,region,doorway_corridor,1,0.021570086793102496,0.03492829125198966,1262
rooms3_switch_50ep,region,right_room,1,0.005601418012597901,0.011792216566404943,15339
rooms3_switch_50ep,region,left_room,3,0.07012259194024452,0.1175411431473784,15916
rooms3_switch_50ep,region,doorway_corridor,3,0.12419486132625394,0.19486363808137988,1262
rooms3_switch_50ep,region,right_room,3,0.06601842520581029,0.11686786927976263,15339
rooms3_switch_50ep,region,left_room,5,0.2127459943239576,0.2578216972383628,15916
rooms3_switch_50ep,region,doorway_corridor,5,0.23500833054510958,0.32033672300809507,1262
rooms3_switch_50ep,region,right_room,5,0.20538412604704537,0.2595249329152935,15339
rooms3_switch_50ep,region,left_room,10,0.6789176914817205,0.5453131009117189,15916
rooms3_switch_50ep,region,doorway_corridor,10,0.3783601884001042,0.5237026281552627,1262
rooms3_switch_50ep,region,right_room,10,0.6770783639377977,0.5603019181528431,15339
latent_cluster_switch,overall,all,1,0.00725875264214857,0.017103917897773147,32517
latent_cluster_switch,overall,all,3,0.07407134799247696,0.11941253349507884,32517
latent_cluster_switch,overall,all,5,0.21842946996827733,0.2584194934673464,32517
latent_cluster_switch,overall,all,10,0.681408161967089,0.5516929278497185,32517
latent_cluster_switch,region,left_room,1,0.0068501395840688374,0.014547039046925073,15916
latent_cluster_switch,region,doorway_corridor,1,0.020508940247162953,0.02815340277038246,1262
latent_cluster_switch,region,right_room,1,0.006592591137152734,0.017897248577585595,15339
latent_cluster_switch,region,left_room,3,0.07277655874267283,0.1153681240409518,15916
latent_cluster_switch,region,doorway_corridor,3,0.12701615381849563,0.17252880437988238,1262
latent_cluster_switch,region,right_room,3,0.07105886482847976,0.11716386622423651,15339
latent_cluster_switch,region,left_room,5,0.21797320109213755,0.25527636962453903,15916
latent_cluster_switch,region,doorway_corridor,5,0.24168908141936424,0.3004317011783182,1262
latent_cluster_switch,region,right_room,5,0.2169892421686404,0.2578323183171651,15339
latent_cluster_switch,region,left_room,10,0.6846589084449318,0.5421458293056591,15916
latent_cluster_switch,region,doorway_corridor,10,0.39651082731918746,0.5252592899067418,1262
latent_cluster_switch,region,right_room,10,0.7014747605318131,0.5571817807395968,15339
