split,n,dim,residual,drift,residual_ratio,drift_to_residual_ratio
common,967,2,0.6436631431125952,0.0,0.9999999999984465,0.0
doorway_corridor,300,2,0.6163630457184053,0.0006593809974976461,0.9575863591270257,0.0006885864561584563
goal_other_side,2110,2,3.926509948999571,8.711894282070836e-05,6.100255997268763,1.42811945694901e-05
left_room,990,2,4.82858390068753,0.007011925434994173,7.501725013071582,0.0009347084067697925
near_wall,823,2,8.438289695734277,3.1023382940129284e-05,13.109791644921119,2.3664283750951697e-06
right_room,1016,2,4.833867364760322,0.006713884718614931,7.509933443411766,0.0008940005619495765
