task,num_clusters,partition_seed,normalized_cluster_entropy,eigengap_after_k,prototype_distance_ratio,knn_purity,margin_radius_ratio_mean,tangent_contrast_mean_d8,curvature_tail_mean_d8,flow_persistence_h10,latent_velocity_eta2,action_residual_velocity_eta2,affine_response_contrast_ratio,minimum_pairwise_response,pairwise_uniformity_min_over_mean,response_centroid_spearman,response_boundary_spearman,boundary_min_jacobian_bures_distance,jacobian_bures_distance,jacobian_cosine_distance,jacobian_log_scale_distance,jacobian_subspace_chordal_distance,check1_retained_safety_fraction,check2_prominence_ratio
tworoom,2,0,0.9999856961774007,0.0004538562587215189,1.0176055431365967,0.9944966666666667,12.159760475158691,0.5531517183571679,0.0003428555627311918,0.891779203925624,8.368184633462584e-05,0.00011208897300911374,0.008170945449737713,0.008170945449737713,1.0,,,0.24252625640076084,0.8973239973047493,1.0016286014295066,0.000939929421519183,0.9842177919182308,0.9972936682353658,2.1198428672680762
tworoom,2,1,0.9999856961774007,0.0004538562587215189,1.0176055431365967,0.9948733333333334,12.25840950012207,0.5455401502605646,0.000394466698826281,0.8922113571385121,7.24403696005803e-05,0.0001003756011711185,0.008034270376563147,0.008034270376563147,1.0,,,0.22198310352630257,0.9016567827190419,0.9959288715595005,0.015716833729000186,0.9842058654579288,0.9972936682353658,2.1198428672680762
tworoom,2,2,0.9999856961774007,0.0004538562587215189,1.0176055431365967,0.9951383333333333,12.301246643066406,0.5398470299861702,0.00035634775366226104,0.8924736906137843,7.719604974016436e-05,0.00010564682988385906,0.00816746354142515,0.00816746354142515,1.0,,,0.3337697859281367,0.8978482622899067,1.003089926347239,0.00357915977139626,0.9844930544534152,0.9972936682353658,2.1198428672680762
tworoom,3,0,0.998261268377339,0.0008314186636587673,1.0141874551773071,0.98879,10.684473991394043,0.5097311169249524,0.0003867742751407428,0.8008432690552953,0.00044814801562394907,0.0004676941963767579,0.01354865544370265,0.01125621476780521,0.8307993966321614,-0.5,-1.0,0.40920721990119785,0.8220256845304686,0.9620814456927482,0.01601796407580597,0.9599714117326127,0.9949841231815547,1.6994685796642952
tworoom,3,1,0.998261268377339,0.0008314186636587673,1.0141874551773071,0.9887383333333334,10.689367294311523,0.5141361066022383,0.00036355150409188194,0.8000930206622463,0.000479332448067667,0.0005002494370277796,0.013729123825956117,0.011341336321795244,0.8260786679156793,-1.0,-1.0,0.4217702410673182,0.825330606553071,0.964791623551366,0.01335609638567395,0.9598074801985623,0.9949841231815547,1.6994685796642952
tworoom,3,2,0.998261268377339,0.0008314186636587673,1.0141874551773071,0.98993,10.702954292297363,0.5090556787624506,0.000376682129355223,0.8000005069245899,0.0004441586928313326,0.00046440273609335146,0.01352635166498784,0.011218851610074685,0.8294070631857087,-1.0,-0.5,0.430857960883607,0.8325426034735729,0.9625178115858204,0.012641015300757015,0.9633471760231977,0.9949841231815547,1.6994685796642952
pusht,2,0,0.9849700939816495,0.0024124644242218274,1.0424436330795288,0.961005,2.6906700134277344,0.5259969883136624,0.013839017507749629,0.9406250987307888,0.0009045524776474321,0.0008673611630090171,0.03613632851927884,0.03613632851927884,1.0,,,0.20438241749728756,0.49752536708106304,0.497392119984269,0.06798320653460496,0.8441606794319333,0.3843051430678691,0.27126980955482194
pusht,2,1,0.9849700939816495,0.0024124644242218274,1.0424436330795288,0.9666016666666667,2.723468065261841,0.5242722823359645,0.01366629012027484,0.9480568344683186,0.0009212603173913999,0.0008717789868205614,0.03691913387790187,0.03691913387790187,1.0,,,0.1758982509406789,0.5042841217445115,0.50338926843877,0.09782834519567574,0.84587605050156,0.3843051430678691,0.27126980955482194
pusht,2,2,0.9849700939816495,0.0024124644242218274,1.0424436330795288,0.96398,2.6442711353302,0.5152430374120802,0.014577876283546762,0.9478299331646413,0.0008562504132546741,0.0008152994279767463,0.03579057875300341,0.03579057875300341,1.0,,,0.16517481550794236,0.4951006745279857,0.4944042975973356,0.08772199768586092,0.8415634959968837,0.3843051430678691,0.27126980955482194
pusht,3,0,0.9805020974396284,0.001656722526499621,1.057321548461914,0.9463416666666666,2.1897215843200684,0.48158218884049625,0.013628576432089257,0.9086004210598876,0.0017750142176327854,0.0018103766709675212,0.04660928753606431,0.04246217269013609,0.9110238524302832,1.0,1.0,0.30233426866347785,0.5093231995773957,0.5075663954576424,0.0002561081385026582,0.8660410224363909,0.01201485099873112,0.00763005634656557
