method,mean_percent,sd_across_finetuning_seeds_percent,num_finetuning_seeds,num_partition_seeds,num_eval_seeds,eval_seed_sd_percent
Official baseline,51.2,,0,0,5,5.761944116355173
Global-FT50,49.06666666666666,1.9731531449265,3,0,5,7.959420893028647
K-means++,46.97777777777778,1.368427050519168,3,3,5,6.64177169986528
Spectral,48.0,0.8326663997864501,3,3,5,5.8153402151707185
Auto-LAP,49.06666666666666,1.9731531449265,3,1,5,7.959420893028647
