experiment_directory,category,total_files,json_files,csv_files,npz_files,log_files
tworoom_success_rate_latent_spectral_spectral_M20000_k30_P16_seed1_trainseed0_mpc_evalseed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_spectral_spectral_M20000_k30_P16_seed1_trainseed0_mpc_evalseed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_spectral_spectral_M20000_k30_P16_seed1_trainseed0_mpc_evalseed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_spectral_spectral_M20000_k30_P16_seed1_trainseed0_mpc_evalseed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_spectral_spectral_M20000_k30_P16_seed1_trainseed0_mpc_evalseed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_spectral_spectral_M20000_k30_P16_seed1_trainseed42_mpc_evalseed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_spectral_spectral_M20000_k30_P16_seed1_trainseed42_mpc_evalseed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_spectral_spectral_M20000_k30_P16_seed1_trainseed42_mpc_evalseed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_spectral_spectral_M20000_k30_P16_seed1_trainseed42_mpc_evalseed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_spectral_spectral_M20000_k30_P16_seed1_trainseed42_mpc_evalseed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_spectral_spectral_M20000_k30_P16_seed1_trainseed625_mpc_evalseed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_spectral_spectral_M20000_k30_P16_seed1_trainseed625_mpc_evalseed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_spectral_spectral_M20000_k30_P16_seed1_trainseed625_mpc_evalseed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_spectral_spectral_M20000_k30_P16_seed1_trainseed625_mpc_evalseed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_spectral_spectral_M20000_k30_P16_seed1_trainseed625_mpc_evalseed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_spectral_spectral_M20000_k30_P16_seed2_trainseed0_mpc_evalseed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_spectral_spectral_M20000_k30_P16_seed2_trainseed0_mpc_evalseed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_spectral_spectral_M20000_k30_P16_seed2_trainseed0_mpc_evalseed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_spectral_spectral_M20000_k30_P16_seed2_trainseed0_mpc_evalseed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_spectral_spectral_M20000_k30_P16_seed2_trainseed0_mpc_evalseed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_spectral_spectral_M20000_k30_P16_seed2_trainseed42_mpc_evalseed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_spectral_spectral_M20000_k30_P16_seed2_trainseed42_mpc_evalseed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_spectral_spectral_M20000_k30_P16_seed2_trainseed42_mpc_evalseed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_spectral_spectral_M20000_k30_P16_seed2_trainseed42_mpc_evalseed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_spectral_spectral_M20000_k30_P16_seed2_trainseed42_mpc_evalseed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_spectral_spectral_M20000_k30_P16_seed2_trainseed625_mpc_evalseed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_spectral_spectral_M20000_k30_P16_seed2_trainseed625_mpc_evalseed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_spectral_spectral_M20000_k30_P16_seed2_trainseed625_mpc_evalseed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_spectral_spectral_M20000_k30_P16_seed2_trainseed625_mpc_evalseed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_spectral_spectral_M20000_k30_P16_seed2_trainseed625_mpc_evalseed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_priority5_30ep_seed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_priority5_30ep_seed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_priority5_30ep_seed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_priority5_30ep_seed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_priority5_30ep_seed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_priority5_50ep_seed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_priority5_50ep_seed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_priority5_50ep_seed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_priority5_50ep_seed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_priority5_50ep_seed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_priority5_exp5_seed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_priority5_exp5_seed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_priority5_exp5_seed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_priority5_exp5_seed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_priority5_exp5_seed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_priority5_exp6_30ep_seed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_priority5_exp6_30ep_seed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_priority5_exp6_30ep_seed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_priority5_exp6_30ep_seed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_priority5_exp6_30ep_seed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_priority5_exp6_50ep_seed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_priority5_exp6_50ep_seed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_priority5_exp6_50ep_seed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_priority5_exp6_50ep_seed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_priority5_exp6_50ep_seed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_priority5_exp6_seed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_priority5_exp6_seed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_priority5_exp6_seed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_priority5_exp6_seed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_priority5_exp6_seed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_priority5_seed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_priority5_seed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_priority5_seed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_priority5_seed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_priority5_seed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_priority5_seed42,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_random_voronoi_k3_seed0_trainseed0_long_evalseed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_random_voronoi_k3_seed0_trainseed0_long_evalseed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_random_voronoi_k3_seed0_trainseed0_long_evalseed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_random_voronoi_k3_seed0_trainseed0_long_evalseed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_random_voronoi_k3_seed0_trainseed0_long_evalseed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_random_voronoi_k3_seed0_trainseed42_long_evalseed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_random_voronoi_k3_seed0_trainseed42_long_evalseed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_random_voronoi_k3_seed0_trainseed42_long_evalseed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_random_voronoi_k3_seed0_trainseed42_long_evalseed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_random_voronoi_k3_seed0_trainseed42_long_evalseed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_random_voronoi_k3_seed0_trainseed42_short_evalseed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_random_voronoi_k3_seed0_trainseed42_short_evalseed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_random_voronoi_k3_seed0_trainseed42_short_evalseed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_random_voronoi_k3_seed0_trainseed42_short_evalseed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_random_voronoi_k3_seed0_trainseed42_short_evalseed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_random_voronoi_k3_seed0_trainseed625_long_evalseed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_random_voronoi_k3_seed0_trainseed625_long_evalseed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_random_voronoi_k3_seed0_trainseed625_long_evalseed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_random_voronoi_k3_seed0_trainseed625_long_evalseed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_random_voronoi_k3_seed0_trainseed625_long_evalseed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_random_voronoi_k3_seed1_trainseed0_long_evalseed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_random_voronoi_k3_seed1_trainseed0_long_evalseed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_random_voronoi_k3_seed1_trainseed0_long_evalseed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_random_voronoi_k3_seed1_trainseed0_long_evalseed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_random_voronoi_k3_seed1_trainseed0_long_evalseed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_random_voronoi_k3_seed1_trainseed42_long_evalseed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_random_voronoi_k3_seed1_trainseed42_long_evalseed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_random_voronoi_k3_seed1_trainseed42_long_evalseed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_random_voronoi_k3_seed1_trainseed42_long_evalseed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_random_voronoi_k3_seed1_trainseed42_long_evalseed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_random_voronoi_k3_seed1_trainseed42_short_evalseed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_random_voronoi_k3_seed1_trainseed42_short_evalseed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_random_voronoi_k3_seed1_trainseed42_short_evalseed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_random_voronoi_k3_seed1_trainseed42_short_evalseed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_random_voronoi_k3_seed1_trainseed42_short_evalseed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_random_voronoi_k3_seed1_trainseed625_long_evalseed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_random_voronoi_k3_seed1_trainseed625_long_evalseed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_random_voronoi_k3_seed1_trainseed625_long_evalseed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_random_voronoi_k3_seed1_trainseed625_long_evalseed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_random_voronoi_k3_seed1_trainseed625_long_evalseed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_random_voronoi_k3_seed2_trainseed0_long_evalseed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_random_voronoi_k3_seed2_trainseed0_long_evalseed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_random_voronoi_k3_seed2_trainseed0_long_evalseed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_random_voronoi_k3_seed2_trainseed0_long_evalseed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_random_voronoi_k3_seed2_trainseed0_long_evalseed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_random_voronoi_k3_seed2_trainseed42_long_evalseed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_random_voronoi_k3_seed2_trainseed42_long_evalseed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_random_voronoi_k3_seed2_trainseed42_long_evalseed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_random_voronoi_k3_seed2_trainseed42_long_evalseed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_random_voronoi_k3_seed2_trainseed42_long_evalseed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_random_voronoi_k3_seed2_trainseed42_short_evalseed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_random_voronoi_k3_seed2_trainseed42_short_evalseed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_random_voronoi_k3_seed2_trainseed42_short_evalseed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_random_voronoi_k3_seed2_trainseed42_short_evalseed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_random_voronoi_k3_seed2_trainseed42_short_evalseed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_random_voronoi_k3_seed2_trainseed625_long_evalseed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_random_voronoi_k3_seed2_trainseed625_long_evalseed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_random_voronoi_k3_seed2_trainseed625_long_evalseed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_random_voronoi_k3_seed2_trainseed625_long_evalseed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_random_voronoi_k3_seed2_trainseed625_long_evalseed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_rooms3_30ep_seed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_rooms3_30ep_seed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_rooms3_30ep_seed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_rooms3_30ep_seed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_rooms3_30ep_seed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_rooms3_50ep_seed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_rooms3_50ep_seed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_rooms3_50ep_seed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_rooms3_50ep_seed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_rooms3_50ep_seed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_rooms3_exp5_seed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_rooms3_exp5_seed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_rooms3_exp5_seed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_rooms3_exp5_seed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_rooms3_exp5_seed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_rooms3_exp6_30ep_seed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_rooms3_exp6_30ep_seed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_rooms3_exp6_30ep_seed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_rooms3_exp6_30ep_seed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_rooms3_exp6_30ep_seed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_rooms3_exp6_50ep_seed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_rooms3_exp6_50ep_seed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_rooms3_exp6_50ep_seed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_rooms3_exp6_50ep_seed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_rooms3_exp6_50ep_seed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_rooms3_exp6_b100_seed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_rooms3_exp6_seed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_rooms3_exp6_seed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_rooms3_exp6_seed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_rooms3_exp6_seed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_rooms3_exp6_seed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_rooms3_seed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_rooms3_seed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_rooms3_seed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_rooms3_seed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_rooms3_seed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_rooms3_seed42,Task-success evaluation,4,1,0,0,2
tworoom_success_rate_trainseed0_global_ft_65ep_long_evalseed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed0_global_ft_65ep_long_evalseed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed0_global_ft_65ep_long_evalseed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed0_global_ft_65ep_long_evalseed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed0_global_ft_65ep_long_evalseed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed0_global_ft_65ep_short_evalseed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed0_global_ft_65ep_short_evalseed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed0_global_ft_65ep_short_evalseed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed0_global_ft_65ep_short_evalseed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed0_global_ft_65ep_short_evalseed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed0_priority5_30ep_long_evalseed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed0_priority5_30ep_long_evalseed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed0_priority5_30ep_long_evalseed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed0_priority5_30ep_long_evalseed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed0_priority5_30ep_long_evalseed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed0_priority5_30ep_short_evalseed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed0_priority5_30ep_short_evalseed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed0_priority5_30ep_short_evalseed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed0_priority5_30ep_short_evalseed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed0_priority5_30ep_short_evalseed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed0_priority5_50ep_long_evalseed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed0_priority5_50ep_long_evalseed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed0_priority5_50ep_long_evalseed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed0_priority5_50ep_long_evalseed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed0_priority5_50ep_long_evalseed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed0_priority5_50ep_short_evalseed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed0_priority5_50ep_short_evalseed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed0_priority5_50ep_short_evalseed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed0_priority5_50ep_short_evalseed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed0_priority5_50ep_short_evalseed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed0_priority5_doorway80_long_evalseed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed0_priority5_doorway80_long_evalseed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed0_priority5_doorway80_long_evalseed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed0_priority5_doorway80_long_evalseed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed0_priority5_doorway80_long_evalseed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed0_priority5_doorway80_short_evalseed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed0_priority5_doorway80_short_evalseed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed0_priority5_doorway80_short_evalseed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed0_priority5_doorway80_short_evalseed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed0_priority5_doorway80_short_evalseed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed0_rooms3_30ep_long_evalseed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed0_rooms3_30ep_long_evalseed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed0_rooms3_30ep_long_evalseed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed0_rooms3_30ep_long_evalseed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed0_rooms3_30ep_long_evalseed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed0_rooms3_30ep_short_evalseed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed0_rooms3_30ep_short_evalseed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed0_rooms3_30ep_short_evalseed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed0_rooms3_30ep_short_evalseed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed0_rooms3_30ep_short_evalseed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed0_rooms3_50ep_long_evalseed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed0_rooms3_50ep_long_evalseed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed0_rooms3_50ep_long_evalseed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed0_rooms3_50ep_long_evalseed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed0_rooms3_50ep_long_evalseed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed0_rooms3_50ep_short_evalseed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed0_rooms3_50ep_short_evalseed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed0_rooms3_50ep_short_evalseed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed0_rooms3_50ep_short_evalseed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed0_rooms3_50ep_short_evalseed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed0_rooms3_doorway80_long_evalseed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed0_rooms3_doorway80_long_evalseed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed0_rooms3_doorway80_long_evalseed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed0_rooms3_doorway80_long_evalseed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed0_rooms3_doorway80_long_evalseed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed0_rooms3_doorway80_short_evalseed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed0_rooms3_doorway80_short_evalseed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed0_rooms3_doorway80_short_evalseed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed0_rooms3_doorway80_short_evalseed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed0_rooms3_doorway80_short_evalseed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed625_global_ft_65ep_long_evalseed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed625_global_ft_65ep_long_evalseed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed625_global_ft_65ep_long_evalseed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed625_global_ft_65ep_long_evalseed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed625_global_ft_65ep_long_evalseed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed625_global_ft_65ep_short_evalseed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed625_global_ft_65ep_short_evalseed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed625_global_ft_65ep_short_evalseed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed625_global_ft_65ep_short_evalseed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed625_global_ft_65ep_short_evalseed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed625_priority5_30ep_long_evalseed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed625_priority5_30ep_long_evalseed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed625_priority5_30ep_long_evalseed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed625_priority5_30ep_long_evalseed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed625_priority5_30ep_long_evalseed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed625_priority5_30ep_short_evalseed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed625_priority5_30ep_short_evalseed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed625_priority5_30ep_short_evalseed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed625_priority5_30ep_short_evalseed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed625_priority5_30ep_short_evalseed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed625_priority5_50ep_long_evalseed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed625_priority5_50ep_long_evalseed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed625_priority5_50ep_long_evalseed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed625_priority5_50ep_long_evalseed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed625_priority5_50ep_long_evalseed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed625_priority5_50ep_short_evalseed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed625_priority5_50ep_short_evalseed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed625_priority5_50ep_short_evalseed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed625_priority5_50ep_short_evalseed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed625_priority5_50ep_short_evalseed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed625_priority5_doorway80_long_evalseed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed625_priority5_doorway80_long_evalseed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed625_priority5_doorway80_long_evalseed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed625_priority5_doorway80_long_evalseed3,Task-success evaluation,3,1,0,0,1
