experiment_directory,category,total_files,json_files,csv_files,npz_files,log_files
tworoom_latent_random_voronoi_k3_seed1_trainseed625,Automatic-partition predictor fine-tuning,5,4,0,0,1
tworoom_latent_random_voronoi_k3_seed2_trainseed0,Automatic-partition predictor fine-tuning,5,4,0,0,1
tworoom_latent_random_voronoi_k3_seed2_trainseed42,Automatic-partition predictor fine-tuning,5,4,0,0,1
tworoom_latent_random_voronoi_k3_seed2_trainseed625,Automatic-partition predictor fine-tuning,5,4,0,0,1
tworoom_latent_spectral_spectral_M20000_k30_P16_seed0_trainseed0,Automatic-partition predictor fine-tuning,5,4,0,0,1
tworoom_latent_spectral_spectral_M20000_k30_P16_seed0_trainseed42,Automatic-partition predictor fine-tuning,5,4,0,0,1
tworoom_latent_spectral_spectral_M20000_k30_P16_seed0_trainseed625,Automatic-partition predictor fine-tuning,5,4,0,0,1
tworoom_latent_spectral_spectral_M20000_k30_P16_seed1_trainseed0,Automatic-partition predictor fine-tuning,5,4,0,0,1
tworoom_latent_spectral_spectral_M20000_k30_P16_seed1_trainseed42,Automatic-partition predictor fine-tuning,5,4,0,0,1
tworoom_latent_spectral_spectral_M20000_k30_P16_seed1_trainseed625,Automatic-partition predictor fine-tuning,5,4,0,0,1
tworoom_latent_spectral_spectral_M20000_k30_P16_seed2_trainseed0,Automatic-partition predictor fine-tuning,5,4,0,0,1
tworoom_latent_spectral_spectral_M20000_k30_P16_seed2_trainseed42,Automatic-partition predictor fine-tuning,5,4,0,0,1
tworoom_latent_spectral_spectral_M20000_k30_P16_seed2_trainseed625,Automatic-partition predictor fine-tuning,5,4,0,0,1
tworoom_predictor_rule_bootstrap_5k_j256_b20,Action-free routing analysis,3,1,2,0,0
tworoom_predictor_rule_bootstrap_5k_j512_b20,Action-free routing analysis,3,1,2,0,0
tworoom_predictor_rule_bootstrap_smoke,Action-free routing analysis,3,1,2,0,0
tworoom_predictor_rule_fast_5k_j256,Action-free routing analysis,2,1,1,0,0
tworoom_predictor_rule_fast_smoke,Action-free routing analysis,2,1,1,0,0
tworoom_predictor_rule_fast_smoke_cached,Action-free routing analysis,2,1,1,0,0
tworoom_predictor_rule_seed0,Action-free routing analysis,3,1,1,0,1
tworoom_predictor_rule_smoke,Action-free routing analysis,2,1,1,0,0
tworoom_predictor_rule_train_test_5k_j512_b20,Action-free routing analysis,4,1,2,0,1
tworoom_predictor_rule_train_test_5k_j512_b20_seed_1,Action-free routing analysis,4,1,2,0,1
tworoom_predictor_rule_train_test_5k_j512_b20_seed_2,Action-free routing analysis,4,1,2,0,1
tworoom_predictor_rule_train_test_5k_j512_b20_seed_3,Action-free routing analysis,4,1,2,0,1
tworoom_predictor_rule_train_test_5k_j512_b20_seed_4,Action-free routing analysis,4,1,2,0,1
tworoom_predictor_rule_train_test_smoke,Action-free routing analysis,3,1,2,0,0
tworoom_resample_check,Encoder/gauge-drift analysis,52,24,14,0,13
tworoom_speed_benchmark_baseline_seed0,Efficiency benchmark,2,1,0,0,0
tworoom_speed_benchmark_priority5_seed0,Efficiency benchmark,2,1,0,0,0
tworoom_speed_benchmark_rooms3_seed0,Efficiency benchmark,2,1,0,0,0
tworoom_success_rate_baseline_exp6_b100_seed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_baseline_exp6_seed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_baseline_exp6_seed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_baseline_exp6_seed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_baseline_exp6_seed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_baseline_exp6_seed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_baseline_seed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_baseline_seed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_baseline_seed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_baseline_seed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_baseline_seed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_baseline_seed42,Task-success evaluation,4,1,0,0,2
tworoom_success_rate_geometry_global65_multiseed_status,Task-success evaluation,9,0,0,0,5
tworoom_success_rate_global_ft_45ep_status,Task-success evaluation,3,0,0,0,0
tworoom_success_rate_global_ft_45ep_trainseed0_long_seed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_global_ft_45ep_trainseed0_long_seed1,Task-success evaluation,3,1,0,0,1
