model,task,varied_factor,varied_value,K,rho,c_pert,c_bg,num_landmarks,B,diagnostic_seeds,nominal_knn,perturb_knn,candidate_gap_min,perturbation_threshold_max,S,R_K,T_bg,safety_margin,prominence_margin,safety_pass,background_pass,decision,reason,agreement_with_baseline,elapsed_sec,cache_hit
lewm,tworoom,baseline,baseline,3,0.5,2.0,3.0,20000,3,"0,1,2",30,"27,33",0.5735326623491236,0.00287669465234619,0.9949842531364063,0.5706559676967774,0.3358034681711355,0.49498425313640626,0.2348524995256419,True,True,spectral,spectrally_nondegenerate,True,0.002282897010445595,True
lewm,tworoom,K,2,2,0.5,2.0,3.0,20000,3,"0,1,2",30,"27,33",0.7375425580875171,0.001996149526004798,0.9972935127551407,0.7355464085615123,0.34653033769257235,0.49729351275514067,0.38901607086893997,True,True,spectral,spectrally_nondegenerate,True,0.0019704580190591514,True
lewm,tworoom,K,3,3,0.5,2.0,3.0,20000,3,"0,1,2",30,"27,33",0.5735326623491236,0.00287669465234619,0.9949842531364063,0.5706559676967774,0.3358034681711355,0.49498425313640626,0.2348524995256419,True,True,spectral,spectrally_nondegenerate,True,0.0019390740199014544,True
lewm,tworoom,K,4,4,0.5,2.0,3.0,20000,3,"0,1,2",30,"27,33",0.04978825307363438,0.008927189912119882,0.8206968639988833,0.0408610631615145,0.3358034681711355,0.3206968639988833,-0.294942405009621,True,False,global,residual_gap_not_above_background,False,0.0019390499801374972,True
lewm,tworoom,K,5,5,0.5,2.0,3.0,20000,3,"0,1,2",30,"27,33",0.12403662315321833,0.0019375333518940607,0.984379344562608,0.12209908980132426,0.33478939075208836,0.484379344562608,-0.21269030095076408,True,False,global,residual_gap_not_above_background,False,0.0019359729485586286,True
lewm,tworoom,rho,0.4,3,0.4,2.0,3.0,20000,3,"0,1,2",30,"27,33",0.5735326623491236,0.00287669465234619,0.9949842531364063,0.5706559676967774,0.3358034681711355,0.5949842531364062,0.2348524995256419,True,True,spectral,spectrally_nondegenerate,True,0.0019150080042891204,True
lewm,tworoom,rho,0.5,3,0.5,2.0,3.0,20000,3,"0,1,2",30,"27,33",0.5735326623491236,0.00287669465234619,0.9949842531364063,0.5706559676967774,0.3358034681711355,0.49498425313640626,0.2348524995256419,True,True,spectral,spectrally_nondegenerate,True,0.0019273700308986008,True
lewm,tworoom,rho,0.6,3,0.6,2.0,3.0,20000,3,"0,1,2",30,"27,33",0.5735326623491236,0.00287669465234619,0.9949842531364063,0.5706559676967774,0.3358034681711355,0.3949842531364063,0.2348524995256419,True,True,spectral,spectrally_nondegenerate,True,0.001931231003254652,True
lewm,tworoom,c_pert,1.5,3,0.5,1.5,3.0,20000,3,"0,1,2",30,"27,33",0.5735326623491236,0.0021575209892596425,0.9962381898523047,0.571375141359864,0.3358034681711355,0.4962381898523047,0.23557167318872851,True,True,spectral,spectrally_nondegenerate,True,0.0019323310116305947,True
lewm,tworoom,c_pert,2.0,3,0.5,2.0,3.0,20000,3,"0,1,2",30,"27,33",0.5735326623491236,0.00287669465234619,0.9949842531364063,0.5706559676967774,0.3358034681711355,0.49498425313640626,0.2348524995256419,True,True,spectral,spectrally_nondegenerate,True,0.0019232159829698503,True
lewm,tworoom,c_pert,2.5,3,0.5,2.5,3.0,20000,3,"0,1,2",30,"27,33",0.5735326623491236,0.0035958683154327375,0.9937303164205078,0.5699367940336908,0.3358034681711355,0.4937303164205078,0.2341333258625553,True,True,spectral,spectrally_nondegenerate,True,0.0019050439586862922,True
lewm,tworoom,c_bg,2.5,3,0.5,2.0,2.5,20000,3,"0,1,2",30,"27,33",0.5735326623491236,0.00287669465234619,0.9949842531364063,0.5706559676967774,0.30204379268831516,0.49498425313640626,0.26861217500846224,True,True,spectral,spectrally_nondegenerate,True,0.0019199230009689927,True
lewm,tworoom,c_bg,3.0,3,0.5,2.0,3.0,20000,3,"0,1,2",30,"27,33",0.5735326623491236,0.00287669465234619,0.9949842531364063,0.5706559676967774,0.3358034681711355,0.49498425313640626,0.2348524995256419,True,True,spectral,spectrally_nondegenerate,True,0.0019359829602763057,True
lewm,tworoom,c_bg,3.5,3,0.5,2.0,3.5,20000,3,"0,1,2",30,"27,33",0.5735326623491236,0.00287669465234619,0.9949842531364063,0.5706559676967774,0.3695631436539558,0.49498425313640626,0.20109282404282158,True,True,spectral,spectrally_nondegenerate,True,0.0019121700315736234,True
lewm,tworoom,M,10000,3,0.5,2.0,3.0,10000,3,"0,1,2",30,"27,33",0.5735326623491236,0.00287669465234619,0.9949842531364063,0.5706559676967774,0.3358034681711355,0.49498425313640626,0.2348524995256419,True,True,spectral,spectrally_nondegenerate,True,0.0019112849840894341,True
lewm,tworoom,M,15000,3,0.5,2.0,3.0,15000,3,"0,1,2",30,"27,33",0.5735326623491236,0.00287669465234619,0.9949842531364063,0.5706559676967774,0.3358034681711355,0.49498425313640626,0.2348524995256419,True,True,spectral,spectrally_nondegenerate,True,0.002076903998386115,True
lewm,tworoom,M,20000,3,0.5,2.0,3.0,20000,3,"0,1,2",30,"27,33",0.5735326623491236,0.00287669465234619,0.9949842531364063,0.5706559676967774,0.3358034681711355,0.49498425313640626,0.2348524995256419,True,True,spectral,spectrally_nondegenerate,True,0.0020850319997407496,True
lewm,tworoom,B,3,3,0.5,2.0,3.0,20000,3,"0,1,2",30,"27,33",0.5735326623491236,0.00287669465234619,0.9949842531364063,0.5706559676967774,0.3358034681711355,0.49498425313640626,0.2348524995256419,True,True,spectral,spectrally_nondegenerate,True,0.001985629030968994,True
