split,n,dim,pca_residual,pca_drift,pca_residual_ratio,pca_drift_to_residual_ratio,frame_residual,frame_drift,frame_residual_ratio,frame_drift_to_residual_ratio,state_to_latent_r2,latent_to_state_r2,orthogonality_error,orthogonal_recovery_error,reference_overlap_n,reference_overlap_ratio,test_iid_frame_drift_mean,test_iid_frame_drift_std,frame_drift_excess_vs_test_iid,frame_drift_z_vs_test_iid,test_iid_pca_drift_mean,test_iid_pca_drift_std,pca_drift_excess_vs_test_iid,pca_drift_z_vs_test_iid
common,166,2,1.3395576449808606,1.414213562373095,0.11994126181350552,11.790884479439935,156.60988969015844,1.2903382219452983,0.8349136252308896,1.5454751041904708,0.012256126518177757,0.8846398132677503,nan,nan,0,0.0,0.6379277807709594,0.04026877127856682,0.652410441174339,16.20139925911733,0.5438757735091834,0.7582071063989665,0.8703377888639116,1.1478892528406273
doorway_corridor,52,2,0.7413192359462415,0.8946861407930865,0.06637621374426661,13.479017411668616,141.71703656539853,1.337711159313213,0.7555173239051894,1.7705896568949,0.06203398247695302,0.77469521152183,nan,nan,0,0.0,0.6379277807709594,0.04026877127856682,0.6997833785422536,17.377818004030775,0.5438757735091834,0.7582071063989665,0.35081036728390314,0.46268409293811735
goal_other_side,353,2,7.890978222168837,0.1520361734990685,0.7065421099689558,0.2151834566598352,190.25316620421066,0.57677714693062,1.0142715828577364,0.568661447957525,0.0012050700101310374,0.8116373403654109,nan,nan,0,0.0,0.6379277807709594,0.04026877127856682,-0.06115063384033936,-1.518562198379478,0.5438757735091834,0.7582071063989665,-0.39183960001011486,-0.5167975830121185
left_room,169,2,13.413713873379896,0.6242638173658314,1.2010366060816267,0.5197708497844773,203.09482403928027,0.8161334563609102,1.0827326175871823,0.7537719314107952,0.015503175336533781,0.9639730230579285,nan,nan,0,0.0,0.6379277807709594,0.04026877127856682,0.17820567558995082,4.425406336656116,0.5438757735091834,0.7582071063989665,0.080388043856648,0.10602385967910198
near_wall,135,2,16.130443113963565,0.3707190409243012,1.4442870061985305,0.25667962069381506,198.14012925501316,0.7638751057944276,1.0563183075303315,0.7231486005195173,0.004337824577476113,0.906679446614461,nan,nan,0,0.0,0.6379277807709594,0.04026877127856682,0.12594732502346828,3.12766744604836,0.5438757735091834,0.7582071063989665,-0.17315673258488218,-0.2283765624501272
right_room,169,2,5.472096837974551,1.414213562373095,0.48996039996601926,2.8863833943892,197.02043051549387,0.8370536973742284,1.05034900549182,0.7969291092740033,-0.01575081771287401,0.9569869114079537,nan,nan,0,0.0,0.6379277807709594,0.04026877127856682,0.19912591660326906,4.944921592487466,0.5438757735091834,0.7582071063989665,0.8703377888639116,1.1478892528406273
test_all,512,2,7.298376027063359,0.0848988336921507,0.6534817170095922,0.1299176877977974,189.65276568562234,0.5025305295694685,1.0110707468533382,0.4970280577624767,0.008946431944534816,0.9313941691605043,nan,nan,0,0.0,0.6379277807709594,0.04026877127856682,-0.13539725120149082,-3.3623387776471367,0.5438757735091834,0.7582071063989665,-0.4589769398170327,-0.605345077806373
