split,seeds,n_mean,pca_residual_mean,pca_residual_std,pca_drift_mean,pca_drift_std,pca_residual_over_iid_mean,pca_residual_over_iid_std,pca_drift_over_iid_mean,pca_drift_over_iid_std,frame_residual_mean,frame_residual_std,frame_drift_mean,frame_drift_std,frame_residual_over_iid_mean,frame_residual_over_iid_std,frame_drift_over_iid_mean,frame_drift_over_iid_std,state_to_latent_r2_mean,state_to_latent_r2_std,latent_to_state_r2_mean,latent_to_state_r2_std,reference_overlap_ratio_mean,reference_overlap_ratio_std
common,10,3302.0,14.006939410554057,0.49174853492550324,0.03256053909731229,0.027131781205344714,1.0,0.0,1.0,0.0,184.81691614411366,0.8028971571183195,0.13556481314584687,0.008599324848849205,1.0,0.0,1.0,0.0,0.05712159929412861,0.0010966502934153302,0.9998822444390928,1.0801344476691584e-05,0.0,0.0
doorway_corridor,10,1438.0,3.405187646392828,0.5510952969317965,0.7724828547960394,0.2324839432878798,0.24233759226823964,0.03240226166501744,61.60257575399649,55.76362737607909,190.45459269621466,0.6398135401289189,1.2935791530653635,0.0030357970809821977,1.0305090112974686,0.0017777091505160256,9.578058462923671,0.6308055079667255,0.17623503829282355,0.004212555676367711,0.9999723756601915,5.65852508064758e-06,0.0,0.0
goal_other_side,10,11663.4,16.42804938868866,0.2063069674169747,0.7227403151331099,0.16577321541028722,1.1737831839202184,0.0309110629837995,53.52927231923771,49.27784925651564,263.9631490216954,0.6998776804172736,1.412511292044917,0.002434517347683354,1.428251353540419,0.0027970943030400297,10.45968414128648,0.7061329148689734,0.029587852235372337,0.0006085903328766166,0.9922181970718948,0.00022623100451957452,0.0,0.0
iid_nonoverlap,10,3302.0,14.006939410554057,0.49174853492550324,0.03256053909731229,0.027131781205344714,1.0,0.0,1.0,0.0,184.81691614411366,0.8028971571183195,0.13556481314584687,0.008599324848849205,1.0,0.0,1.0,0.0,0.05677149479637748,0.0008825419249428218,0.9998852142276811,7.135264154604704e-06,0.0,0.0
left_room,10,6159.8,16.0834364199713,0.6488492953808124,0.3629766450893713,0.2142291462862505,1.1484245560570814,0.03144540659440361,27.226573819235064,36.70068074056061,272.21941998888605,0.708665708803323,1.4200942552670477,0.0020494993909977517,1.4729245397252237,0.002887491418460151,10.515918438781476,0.7116729789661425,0.06924848347233623,0.0009008205725617087,0.999310352932809,0.00010970692911949317,0.0,0.0
near_wall,10,5455.0,25.86095638073702,0.47042553859134273,1.1908956803837387,0.23758126393278098,1.8475752036458177,0.04661148546706952,90.11782895724366,86.83692996695773,271.56806986113025,0.6597118991885705,1.4967143517569783,0.0016192821316510207,1.469401338669011,0.0031726235611923836,11.082928279903292,0.7430716129660744,0.08802387909480802,0.0008726284905459222,0.9986061187563675,0.00023352673978749438,0.0,0.0
reference,10,3302.0,14.806164867464261,0.644272701038091,0.0,0.0,1.0568658848704633,0.017158816777310026,0.0,0.0,184.45332932516288,0.03782250045475684,0.0,0.0,0.9980493265398046,0.004251222233845651,0.0,0.0,0.057098643640687965,0.0009314774073600633,0.9998812060804317,5.4708928357387685e-06,1.0,0.0
right_room,10,6125.4,16.17628238896183,0.5398562907235761,1.3415704349371764,0.20383897115846158,1.155141287955203,0.0228692987283909,106.52192892209752,101.3356731368633,267.24074493041564,0.6621988296930476,1.4161302028429996,0.002544821343345853,1.4459866881983738,0.003021063535788371,10.48587545859201,0.6967487112263341,0.07426339643987717,0.0013034195715016666,0.9984378191207446,0.0006250045602325895,0.0,0.0
