task,bures_mean,jacobian_bures_distance,absolute_error
tworoom,0.6701889531830104,0.6701889531830104,0.0
pusht,0.3532556706517276,0.3532556706517276,0.0
reacher,0.6051011700244154,0.6051011700244154,0.0
cube,0.4665741815151028,0.4665741815151028,0.0
