task,train_seed,horizon,region,num_episodes,num_anchors,region_weight,global_mse,correct_mse,wrong_mean_mse,wrong_best_mse,global_minus_correct,relative_gain,wrong_penalty,mean_trajectory_global_mse,mean_trajectory_correct_mse,mean_trajectory_wrong_mean_mse,mean_trajectory_wrong_best_mse,low_support,terminal_global_mse,terminal_correct_mse,terminal_wrong_mean_mse,terminal_wrong_best_mse,anchor_support
tworoom,0,10,0,266,3292,0.17413382702988628,0.04468964542946391,0.08989459777795637,0.2742914795322222,0.05851924130665262,-0.045204952348492464,-1.0115307900538593,0.18439688175426583,0.04468964542946391,0.08989459777795637,0.2742914795322222,0.05851924130665262,False,0.06413507560542647,0.25043141308350547,0.5635721843234099,0.08547705037669744,horizon_valid
tworoom,0,10,1,397,7840,0.414705104469717,0.019593430280894553,0.043164402095986494,0.9322924893236528,0.5928900911901505,-0.02357097181509194,-1.2030038373666436,0.8891280872276663,0.019593430280894553,0.043164402095986494,0.9322924893236528,0.5928900911901505,False,0.051180125270882726,0.1380846569048377,1.0526723552016328,0.6930749479118703,horizon_valid
tworoom,0,10,2,389,7773,0.41116106850039674,0.018760531542463692,0.055640768433346886,0.8238403555848156,0.48609315551661486,-0.0368802368908832,-1.965841789045598,0.7681995871514687,0.018760531542463692,0.055640768433346886,0.8238403555848156,0.48609315551661486,False,0.053585758324929685,0.20044216511954024,1.0497547889726937,0.6980842525614374,horizon_valid
tworoom,0,1,0,924,28025,0.3634135587945433,0.006813783497877836,0.007784803682745396,0.03773449982791273,0.006246725497392822,-0.00097102018486756,-0.14250822398011118,0.029949696145167334,0.006813783497877836,0.007784803682745396,0.03773449982791273,0.006246725497392822,False,0.006813783497877836,0.007784803682745396,0.03773449982791273,0.006246725497392822,horizon_valid
tworoom,0,1,1,693,23320,0.3024015768452721,0.0019022930347801271,0.0025004107863486396,0.23097317461561018,0.08571710788959844,-0.0005981177515685125,-0.3144193563415138,0.22847276382926154,0.0019022930347801271,0.0025004107863486396,0.23097317461561018,0.08571710788959844,False,0.0019022930347801271,0.0025004107863486396,0.23097317461561018,0.08571710788959844,horizon_valid
tworoom,0,1,2,726,25771,0.33418486436018463,0.002187981067014996,0.0029614753305952216,0.13103001572871087,0.039863983316635626,-0.0007734942635802258,-0.3535196328894579,0.12806854039811566,0.002187981067014996,0.0029614753305952216,0.13103001572871087,0.039863983316635626,False,0.002187981067014996,0.0029614753305952216,0.13103001572871087,0.039863983316635626,horizon_valid
tworoom,0,5,0,564,11748,0.27862631628877715,0.030030825485109547,0.036883383555171255,0.13417477065483174,0.02751717230561021,-0.006852558070061708,-0.22818413944230315,0.09729138709966048,0.030030825485109547,0.036883383555171255,0.13417477065483174,0.02751717230561021,False,0.04877455658519048,0.07063768492728864,0.25850707606318873,0.04299444294475851,horizon_valid
tworoom,0,5,1,492,14866,0.3525756569585428,0.00851617560403632,0.013922781074952513,0.6396352201254054,0.3392650176826643,-0.005406605470916193,-0.6348630796614484,0.6257124390504529,0.00851617560403632,0.013922781074952513,0.6396352201254054,0.3392650176826643,False,0.01832175361486577,0.030796876004131765,0.8420186764407581,0.4782039445148136,horizon_valid
tworoom,0,5,2,506,15550,0.36879802675268003,0.009407472715466682,0.01807274697145474,0.48101072708513437,0.20343473141670446,-0.008665274255988058,-0.9211054358671286,0.46293798011367965,0.009407472715466682,0.01807274697145474,0.48101072708513437,0.20343473141670446,False,0.018414504295468617,0.04130224771247772,0.7400633841024001,0.36091772313094234,horizon_valid
tworoom,42,10,0,266,3292,0.17413382702988628,0.047607971083477356,0.07975561029574302,0.27773452726521614,0.05748242957180366,-0.03214763921226566,-0.675257493244082,0.19797891696947312,0.047607971083477356,0.07975561029574302,0.27773452726521614,0.05748242957180366,False,0.07068828656998671,0.24009580378590384,0.5718849909950003,0.08649403204003343,horizon_valid
