trial,n,pca_drift,pca_residual_ratio,frame_drift,frame_residual_ratio
0,1000,0.12237003284997976,1.0312350135129857,0.34797287376858793,1.0064441942438325
1,1000,0.21961708956225728,0.8615844389361246,0.3358001157040721,0.9893809844143046
2,1000,0.10996372343038048,0.9444296380105301,0.3019518528200401,0.9930991305607944
3,1000,0.07732803909333857,0.9313128947034724,0.29080776960416926,1.0015273544866266
4,1000,0.09348364565266971,0.9489277410434077,0.29889473567344516,1.0036931157523246
5,1000,0.014441953927039036,0.932442359237154,0.2828002282710506,1.0021558375023634
6,1000,0.11775640003247048,1.0148582201019598,0.26674793439814365,1.0027511488442964
7,1000,0.0818726873659,0.7952160080432304,0.3598920985295577,0.9854474995749919
8,1000,0.06252721291700664,0.9368320067883561,0.29841394171667485,0.9990522152055487
9,1000,0.11296124243357071,0.954438081932477,0.35374886894469104,0.9996448312478954
10,1000,0.07853716327596552,0.8786193854472499,0.35222619201574523,0.9932710511582393
11,1000,0.05419564663810278,0.9492250208333659,0.37601952931993904,0.9942466075622255
12,1000,0.16390627468786717,0.9225572916235437,0.2846612142753167,0.9920562953690492
13,1000,0.08982706210353236,0.9233815086488355,0.31091134848520086,0.9973929494821769
14,1000,0.06677687223522732,0.9479162433831585,0.28995501585653854,1.003745515745681
15,1000,0.15346552918162293,0.9078741947684884,0.3557196503881728,1.0023009470343558
16,1000,0.1990880183761387,0.9355852571054017,0.38333838660621505,0.9905867463847
17,1000,0.0847072539950021,1.003542159759377,0.32595282306810885,1.0095396335323203
18,1000,0.04691206018277696,0.9001348243226592,0.3064646689829896,0.9940333336338388
19,1000,0.21887113512640194,0.9263103493425434,0.3250782893283858,0.9972502037559993
