trial,n,pca_drift,pca_residual_ratio,frame_drift,frame_residual_ratio
0,1000,0.025122162423577708,0.9605000482562386,0.33330164145576613,0.9968852179595523
1,1000,0.0954294675120691,0.7884339013294781,0.319157517368519,0.9920164984286254
2,1000,0.1249816804131662,0.9323804802089489,0.36406701688883336,0.9975611972685424
3,1000,0.06414758613502122,0.9052716850843975,0.2570545776398736,0.9985231818986392
4,1000,0.06894647810826661,0.8826906964774233,0.3265657968367826,1.0041806932364163
5,1000,0.12382635686046575,0.916479505434897,0.30861371708165397,0.9944133433755056
6,1000,0.16933045713409692,0.9526889342969628,0.3383484427728666,0.9972172828565726
7,1000,0.03868945262186059,0.904319748469473,0.31999148925997034,0.9923027249149512
8,1000,0.06013379778276051,0.9373629185379918,0.29121730964544496,0.9974965397772241
9,1000,0.17856239708240085,0.7987083263990896,0.3343460688320973,0.9853877140135593
10,1000,0.06433227918443757,0.947244634502848,0.3552937370056047,0.9998334184651535
11,1000,0.038198414795914744,0.9789278605377633,0.30895870670665226,0.9938735804958364
12,1000,0.15142384061777578,0.9326828548688175,0.3265077775718213,0.9896750350676714
13,1000,0.09127680992774724,0.9918065702059337,0.28245087487554005,1.0050512632424975
14,1000,0.04479627354899345,0.994324151002816,0.32429204708453846,0.9853800862858526
15,1000,0.162081583228387,0.8782536093860795,0.2917321733991238,0.996070664563819
16,1000,0.04913358935633276,0.9459049512698097,0.3272943368157086,1.0038142589600763
17,1000,0.14771214994366746,0.8430098805748846,0.3203381454108985,0.9889193413475755
18,1000,0.0555751383997097,0.8780765912590611,0.32289648314444136,0.9913879376556121
19,1000,0.010814440714886837,0.9327513027286202,0.30371883295805,0.9956693178046292
