preprocess,seed_a,seed_b,ari,nmi,label_agreement,centroid_cosine
raw_l2,0,1,0.09004249560726671,0.08162777845633028,0.48576984422730873,0.6327105859915415
raw_l2,0,2,0.13083397980836417,0.12088488260781077,0.5018142885251884,0.665903369585673
raw_l2,0,3,0.13990575922427703,0.1344104351458759,0.5324269035739451,0.6904754042625427
raw_l2,0,4,0.21152485165037052,0.19633690531281128,0.6087809146300577,0.7655332883199056
raw_l2,0,5,0.11731636611307408,0.11425107688653399,0.49063835914888376,0.6641578276952108
raw_l2,0,6,0.09767151740601106,0.08485038488690716,0.4954013474431228,0.6508188645044962
raw_l2,0,7,0.028963033226015216,0.030218349132570217,0.4153385151304298,0.5789344509442648
raw_l2,0,8,0.05285163430106851,0.054817264316114576,0.42840183220606715,0.6077962319056193
raw_l2,0,9,0.08596739409542861,0.08784235482436617,0.4498413253265005,0.6257927219072977
raw_l2,0,10,0.11562349817297693,0.10493873582043217,0.5136695455649687,0.6767709453900655
raw_l2,0,11,0.1605197258351732,0.14486490472419647,0.5483603250659816,0.6920444170633951
raw_l2,0,12,0.10588847697887525,0.10521501653178611,0.5187688999838412,0.6878865162531534
raw_l2,0,13,0.14218614488121442,0.14569383599520272,0.4584054706762388,0.6144278844197592
raw_l2,0,14,0.1802919199960825,0.1623044404864005,0.5761457058906942,0.7058112025260925
raw_l2,0,15,0.15003207827858273,0.14233853475381583,0.526237107339267,0.6753273804982504
raw_l2,0,16,0.14741293557816765,0.13045716859201148,0.5596527734266364,0.722033699353536
raw_l2,0,17,0.18894758010743712,0.17479000112275225,0.6074915111522958,0.7727173368136088
raw_l2,0,18,0.08511102414724851,0.07138530886769708,0.478836964658473,0.6300807297229767
raw_l2,0,19,0.1854485852328684,0.16914789082549028,0.5622337788535631,0.7213273644447327
raw_l2,1,2,0.17602011526810746,0.16601501265981042,0.5896904882035521,0.7298989494641622
raw_l2,1,3,0.1811847637695516,0.18070541478254273,0.5623931680302685,0.700727105140686
raw_l2,1,4,0.08470587020657176,0.07767172301199901,0.5047217669554359,0.6471558610598246
raw_l2,1,5,0.07047544614710238,0.07784105011234659,0.4351511394127663,0.5970486402511597
raw_l2,1,6,0.22005566415949737,0.1978681677109763,0.6238558330392878,0.7544894615809122
raw_l2,1,7,0.22411721600754272,0.20326107278108374,0.5653556082455868,0.6772739092508951
raw_l2,1,8,0.06749339773503617,0.05970941805468777,0.5037533403024876,0.6596697568893433
raw_l2,1,9,0.10561315812493316,0.10482179747007907,0.4850641349069992,0.6437328656514486
raw_l2,1,10,0.1577618550931644,0.1478660903933908,0.5658271803614947,0.6972925861676534
