preprocess,seed,converged,niter,objective_final,objective_still_changing,final_rel_obj_change,fit_sec,mean_label_change_frac,final_label_change_frac,max_label_change_frac,cluster_frac_min,cluster_frac_mid,cluster_frac_max,margin_mean,margin_median,margin_p10,margin_p25,margin_lt_0p01_frac
raw_l2,0,1,143,0.2127274125814438,0,0.0,0.7481447928585112,0.006433864919991194,1.2091591997887008e-05,0.19722816348075867,0.3177241863732147,0.3395451142820397,0.3427306993447456,0.13511092960834503,0.1388111710548401,0.03302336484193802,0.07724826782941818,0.03029273745964431
raw_l2,1,1,110,0.21317635476589203,0,0.0,0.4829814578406513,0.00651689411525995,2.1984712930134265e-06,0.15766006708145142,0.28201331614128694,0.3407289911324656,0.37725769272624743,0.1399848461151123,0.1454956978559494,0.03863818198442459,0.08869723975658417,0.02579906191225241
raw_l2,2,1,102,0.21371936798095703,0,0.0,0.4488958357833326,0.008633984454304076,1.7587770344107412e-05,0.18309198319911957,0.32496705040985,0.3358901555748288,0.33914279401532116,0.13914521038532257,0.13939040899276733,0.034096505492925644,0.08004069328308105,0.028894509647442133
raw_l2,3,1,225,0.21318763494491577,0,6.989693487262227e-08,0.9897584212012589,0.004567765827159421,2.5282419301220216e-05,0.16585268080234528,0.32478457728341487,0.3264839956778052,0.34873142703877996,0.13490064442157745,0.13885556161403656,0.03228968381881714,0.0782148465514183,0.03043343962942566
raw_l2,4,1,82,0.21215258538722992,0,7.023793803890058e-08,0.3605166091583669,0.010053799143659288,3.7374011299107224e-05,0.22258532047271729,0.3083872783253804,0.32769755189216937,0.36391516978245025,0.13607634603977203,0.13501936197280884,0.02990814670920372,0.0735345408320427,0.03320681130410026
raw_l2,5,1,182,0.21400240063667297,0,6.963081809874862e-08,0.7977422489784658,0.005002469613827998,4.177095615887083e-05,0.18178719282150269,0.3028504280973439,0.34151824236608286,0.3556313295365732,0.1371036171913147,0.13509094715118408,0.033050160855054855,0.07930409908294678,0.030300432109554225
raw_l2,6,1,205,0.21411237120628357,0,6.95950452225124e-08,0.9019650891423225,0.005870688848553269,8.793885172053706e-06,0.17720557749271393,0.26248099696281174,0.3518114854741498,0.3857075175630384,0.14252632856369019,0.14441817998886108,0.03324942663311958,0.0798196941614151,0.030366386251639236
raw_l2,7,1,156,0.21058101952075958,0,7.076212363926206e-08,0.6870263451710343,0.004375319555214035,2.0885478079435416e-05,0.16959227621555328,0.2622402643442015,0.274468162286762,0.46329157336903654,0.1371546983718872,0.1367037296295166,0.03739133104681969,0.08869755268096924,0.02662788563112068
raw_l2,8,1,131,0.2119022160768509,0,7.032093631482852e-08,0.5765828331932425,0.005589630158059523,2.748089173110202e-05,0.17308343946933746,0.28919682145004577,0.3347029810172987,0.37610019753265556,0.1360897421836853,0.1362438201904297,0.03208780661225319,0.07633276283740997,0.031067698629143155
raw_l2,9,1,137,0.21476158499717712,0,0.0,0.6029650405980647,0.008102377077629045,4.396942586026853e-06,0.18797039985656738,0.32936948939402433,0.3297267409969848,0.3409037696089909,0.13807334005832672,0.14301638305187225,0.03528786823153496,0.0834355354309082,0.028363578803657818
