preprocess,pairwise_ari_mean,pairwise_ari_std,pairwise_ari_median,pairwise_ari_min,pairwise_ari_max,pairwise_nmi_mean,pairwise_nmi_std,pairwise_label_agreement_mean,pairwise_centroid_cosine_mean,num_pairs,medoid_seed,consensus_mean_q,consensus_q_eq_1_frac,consensus_q_ge_0p9_frac,consensus_q_lt_0p7_frac,converged_runs,num_runs
raw_l2,0.16963172133121257,0.09943344092360937,0.14851499613769664,0.011457438860931939,0.5927753598440941,0.15834864532666876,0.08833979948592754,0.5497350928741352,0.6940035501070191,190,10,0.6464540305125845,0.0018302274428589802,0.08193702918360864,0.606510992906632,20,20
center_l2,0.1831474311633818,0.1058506308550909,0.17227782517094722,0.0192768535817326,0.6815756149214263,0.17391500542119795,0.09592833190365035,0.5635346780225814,0.4583321356900821,190,10,0.6611110195081359,0.017585572751266043,0.10536394045220358,0.550072934288789,20,20
zscore_l2,0.22608446483789002,0.10707960919648102,0.20666239335018532,0.03148892720017944,0.7128517392884021,0.2122428996107451,0.09372632993986406,0.5995812432668198,0.5239129228484736,190,9,0.6891440031745926,0.031108370350095577,0.12810712711451727,0.4694055223403168,20,20
