split,n,dim,pca_residual,pca_drift,pca_residual_ratio,pca_drift_to_residual_ratio,frame_residual,frame_drift,frame_residual_ratio,frame_drift_to_residual_ratio,state_to_latent_r2,latent_to_state_r2,orthogonality_error,orthogonal_recovery_error,reference_overlap_n,reference_overlap_ratio
common,3302,2,14.735059223797087,0.010689039096417984,0.9344608488163798,0.011438723312962388,185.96916277756955,0.1396118615843466,1.0083017457271748,0.13846238209527423,0.057353054053307484,0.9998827024000094,nan,nan,0,0.0
doorway_corridor,1403,2,3.880717914868608,0.7125785304369575,0.2461054890698001,2.895419086861413,191.39856264224886,1.2968891848470334,1.0377392787032995,1.2497254478661568,0.1758280602765795,0.9999777630711745,nan,nan,0,0.0
goal_other_side,11653,2,16.876130470687503,0.4860635211218132,1.0702422681074784,0.454162142166998,265.16704583445386,1.4118225595654552,1.437702849391146,0.981998860308559,0.02993827421023121,0.9923672175175984,nan,nan,0,0.0
iid_nonoverlap,3302,2,14.735059223797087,0.010689039096417984,0.9344608488163798,0.011438723312962388,185.96916277756955,0.1396118615843466,1.0083017457271748,0.13846238209527423,0.05669281595114484,0.9998925889771303,nan,nan,0,0.0
left_room,6156,2,17.294911916588507,0.16142037862510575,1.0968003470036392,0.14717389456152585,273.27424914058,1.4183283235621549,1.481659100655821,0.9572568500631544,0.07014994818743958,0.9993198012779677,nan,nan,0,0.0
near_wall,5455,2,26.82548850230601,0.7694852596083724,1.701205836709171,0.45231755205849744,272.6509222452278,1.494940005936282,1.4782794995039135,1.0112702005520258,0.08819437492581883,0.998520748564746,nan,nan,0,0.0
reference,3302,2,15.768514264091518,0.0,0.9999999999999366,0.0,184.43800535468665,0.0,0.9999999999999946,0.0,0.05896158268279206,0.9998794416575867,nan,nan,3302,1.0
right_room,6134,2,17.128324037109433,0.7656280100661211,1.0862357575509458,0.7048451542339392,268.32142606321514,1.4190167395375846,1.4548055079386355,0.9753996199445678,0.0761384624147664,0.9975650687076452,nan,nan,0,0.0
