task,entropy_norm,minimum_cluster_fraction,eigengap_after_k,prototype_between_nearest,prototype_within_nearest,prototype_distance_ratio
tworoom,0.9945418203584673,0.21930191937545823,7.57351608127177e-05,0.9263638854026794,0.8690708875656128,1.0659244241831092
pusht,0.9768335369887395,0.16724180593875382,0.0015123212105939698,0.8815504312515259,0.7901813983917236,1.115630452761566
reacher,0.9996873419745683,0.23807188937509818,0.00011726978387305298,0.8663709759712219,0.7928546667098999,1.092723562524254
cube,0.9792436686451109,0.1824067060192667,0.0010843552256641908,0.9216525554656982,0.8348233103752136,1.1040091286519766
