model,task,decision,reason,S,rho,R_K,T_bg,safety_margin,prominence_margin,safety_pass,background_pass,candidate_gap_min,perturbation_threshold_max
subjepa,tworoom,spectral,spectrally_nondegenerate,0.9887743728774375,0.5,0.48345648622952453,0.4753990673982195,0.4887743728774375,0.008057418831305008,True,True,0.4889452027590635,0.005488716529538973
subjepa,pusht,global,safety_and_background_checks_failed,0.20631126705079927,0.5,0.03071555774636539,0.159443393703713,-0.2936887329492007,-0.1287278359573476,False,False,0.14887969128124454,0.11816413353487915
subjepa,reacher,global,residual_gap_not_above_background,0.653680961314664,0.5,0.01243806065732227,0.3167419315603566,0.15368096131466402,-0.30430387090303435,True,False,0.01902772360435159,0.006589662947029319
subjepa,cube,global,residual_gap_not_above_background,0.9800250976158262,0.5,0.28344893078919103,0.3194156178808116,0.48002509761582624,-0.03596668709162054,True,False,0.2892261958175934,0.0057772650284023674
