model,task,varied_factor,varied_value,K,rho,c_pert,c_bg,num_landmarks,B,diagnostic_seeds,nominal_knn,perturb_knn,candidate_gap_min,perturbation_threshold_max,S,R_K,T_bg,safety_margin,prominence_margin,safety_pass,background_pass,decision,reason,agreement_with_baseline,elapsed_sec,cache_hit
subjepa,pusht,K,3,3,0.5,2.0,3.0,20000,3,"0,1,2",30,"27,33",0.14887969128124454,0.11816413353487915,0.20631126705079927,0.03071555774636539,0.159443393703713,-0.2936887329492007,-0.1287278359573476,False,False,global,safety_and_background_checks_failed,True,0.001880294003058225,True
subjepa,pusht,K,4,4,0.5,2.0,3.0,20000,3,"0,1,2",30,"27,33",0.051334991145206774,0.21458934318422554,-3.180176881247248,-0.16325435203901878,0.16307618285575615,-3.680176881247248,-0.3263305348947749,False,False,global,safety_and_background_checks_failed,True,0.0019008340314030647,False
subjepa,pusht,K,5,5,0.5,2.0,3.0,20000,3,"0,1,2",30,"27,33",0.08355201880229293,0.13385186040242225,-0.6020182674359142,-0.05029984160012932,0.14859874746162716,-1.1020182674359142,-0.19889858906175648,False,False,global,safety_and_background_checks_failed,True,0.0018869600025936961,False
subjepa,pusht,rho,0.4,3,0.4,2.0,3.0,20000,3,"0,1,2",30,"27,33",0.14887969128124454,0.11816413353487915,0.20631126705079927,0.03071555774636539,0.159443393703713,-0.19368873294920075,-0.1287278359573476,False,False,global,safety_and_background_checks_failed,True,0.0018819670076481998,True
subjepa,pusht,rho,0.5,3,0.5,2.0,3.0,20000,3,"0,1,2",30,"27,33",0.14887969128124454,0.11816413353487915,0.20631126705079927,0.03071555774636539,0.159443393703713,-0.2936887329492007,-0.1287278359573476,False,False,global,safety_and_background_checks_failed,True,0.0018704969552345574,True
subjepa,pusht,rho,0.6,3,0.6,2.0,3.0,20000,3,"0,1,2",30,"27,33",0.14887969128124454,0.11816413353487915,0.20631126705079927,0.03071555774636539,0.159443393703713,-0.3936887329492007,-0.1287278359573476,False,False,global,safety_and_background_checks_failed,True,0.001874241977930069,True
subjepa,pusht,c_pert,1.5,3,0.5,1.5,3.0,20000,3,"0,1,2",30,"27,33",0.14887969128124454,0.08862310015115936,0.4047334502880995,0.06025659113008518,0.159443393703713,-0.09526654971190052,-0.09918680257362782,False,False,global,safety_and_background_checks_failed,True,0.0018668489647097886,True
subjepa,pusht,c_pert,2.0,3,0.5,2.0,3.0,20000,3,"0,1,2",30,"27,33",0.14887969128124454,0.11816413353487915,0.20631126705079927,0.03071555774636539,0.159443393703713,-0.2936887329492007,-0.1287278359573476,False,False,global,safety_and_background_checks_failed,True,0.0018802720005623996,True
subjepa,pusht,c_pert,2.5,3,0.5,2.5,3.0,20000,3,"0,1,2",30,"27,33",0.14887969128124454,0.14770516691859892,0.007889083813499176,0.001174524362645618,0.159443393703713,-0.4921109161865008,-0.15826886934106738,False,False,global,safety_and_background_checks_failed,True,0.0018618300091475248,True
subjepa,pusht,c_bg,2.5,3,0.5,2.0,2.5,20000,3,"0,1,2",30,"27,33",0.14887969128124454,0.11816413353487915,0.20631126705079927,0.03071555774636539,0.1420600066256152,-0.2936887329492007,-0.1113444488792498,False,False,global,safety_and_background_checks_failed,True,0.001859302050434053,True
subjepa,pusht,c_bg,3.0,3,0.5,2.0,3.0,20000,3,"0,1,2",30,"27,33",0.14887969128124454,0.11816413353487915,0.20631126705079927,0.03071555774636539,0.159443393703713,-0.2936887329492007,-0.1287278359573476,False,False,global,safety_and_background_checks_failed,True,0.0018785980064421892,True
subjepa,pusht,c_bg,3.5,3,0.5,2.0,3.5,20000,3,"0,1,2",30,"27,33",0.14887969128124454,0.11816413353487915,0.20631126705079927,0.03071555774636539,0.1768267807818108,-0.2936887329492007,-0.1461112230354454,False,False,global,safety_and_background_checks_failed,True,0.0018621190101839602,True
subjepa,pusht,M,10000,3,0.5,2.0,3.0,10000,3,"0,1,2",30,"27,33",0.15099598076242599,0.01799992999093153,0.8807919926077221,0.13299605077149446,0.22656129143285036,0.3807919926077221,-0.09356524066135591,True,False,global,residual_gap_not_above_background,True,0.001888215949293226,False
subjepa,pusht,M,15000,3,0.5,2.0,3.0,15000,3,"0,1,2",30,"27,33",0.17178677627427458,0.030470393581815525,0.8226266640386422,0.14131638269245905,0.18349299928485002,0.32262666403864215,-0.04217661659239097,True,False,global,residual_gap_not_above_background,True,0.0021115419804118574,False
subjepa,pusht,M,20000,3,0.5,2.0,3.0,20000,3,"0,1,2",30,"27,33",0.14887969128124454,0.11816413353487915,0.20631126705079927,0.03071555774636539,0.159443393703713,-0.2936887329492007,-0.1287278359573476,False,False,global,safety_and_background_checks_failed,True,0.0020527029992081225,True
subjepa,pusht,B,3,3,0.5,2.0,3.0,20000,3,"0,1,2",30,"27,33",0.14887969128124454,0.11816413353487915,0.20631126705079927,0.03071555774636539,0.159443393703713,-0.2936887329492007,-0.1287278359573476,False,False,global,safety_and_background_checks_failed,True,0.0019108179840259254,True
