model,task,varied_factor,comparison_count,mean_ari,min_ari
subjepa,tworoom,M,2,0.9684429785287842,0.962313009166392
subjepa,tworoom,kNN,2,0.9779668807011168,0.9763925569511248
subjepa,pusht,M,2,0.421108139719065,0.3974886085339566
subjepa,pusht,kNN,2,0.6363144789002789,0.445417356065863
subjepa,reacher,M,2,0.2840044644237347,0.2832730229328641
subjepa,reacher,kNN,2,0.6708563639252242,0.4012827350432303
subjepa,cube,M,2,0.9120979599694323,0.9110122458659597
subjepa,cube,kNN,2,0.9218247861860999,0.9216841893764498
