task,global_mean_percent,spectral_mean_percent,delta_spectral_minus_global_pp,long_winner
tworoom,58.53333333333333,57.73333333333333,-0.8000000000000043,Global
pusht,46.4,43.46666666666667,-2.93333333333333,Global
reacher,78.26666666666667,77.95555555555556,-0.3111111111111029,Global
cube,49.06666666666666,48.666666666666664,-0.3999999999999986,Global
