split,n,dim,pca_residual,pca_drift,pca_residual_ratio,pca_drift_to_residual_ratio,frame_residual,frame_drift,frame_residual_ratio,frame_drift_to_residual_ratio,state_to_latent_r2,latent_to_state_r2,orthogonality_error,orthogonal_recovery_error,reference_overlap_n,reference_overlap_ratio
common,79,2,9.73987787376611,1.4142135623730945,0.41877842559753015,3.376997180195852,199.98172977701952,0.9526356977600035,1.0953695890517368,0.8696933959832059,-0.057643611144303275,0.8800993695500683,nan,nan,0,0.0
goal_other_side,297,2,16.06169325033795,1.4142135623730947,0.6905929108129725,2.0478251951735524,287.9646714440011,1.357447119474863,1.5772828056479817,0.8606237984800283,0.0010713862168867383,0.5856765023100454,nan,nan,0,0.0
iid_nonoverlap,79,2,9.73987787376611,1.4142135623730945,0.41877842559753015,3.376997180195852,199.98172977701952,0.9526356977600035,1.0953695890517368,0.8696933959832059,-0.08535845384110297,0.8305607350610261,nan,nan,0,0.0
left_room,156,2,17.175884224115464,1.4142135623730943,0.7384989675275324,1.9149838043862333,301.3428784483677,1.4109325484205204,1.6505599051358273,0.8548205636338643,0.036351580605312184,0.9860015197748356,nan,nan,0,0.0
near_wall,137,2,26.597590669739827,1.9456559829955526,1.1435972082732377,1.7013472653817276,301.4886614343325,1.4692372842108026,1.6513584093272107,0.8897143563210503,0.03126239321029911,0.8823423924183337,nan,nan,0,0.0
reference,80,2,23.257831059153624,0.0,0.999999999999957,0.0,182.57009485733755,0.0,0.9999999999999946,0.0,-0.046120650598241664,0.7743601238239564,nan,nan,80,1.0
right_room,154,2,18.0309962257634,0.4744369544328671,0.7752655946250042,0.6119669926301066,285.3487731225027,1.3537785625898335,1.5629546194050896,0.8661662634224522,0.01185378982922669,0.9855668160765396,nan,nan,0,0.0
