metric,estimate,ci_low,ci_high
correct_minus_global,-0.005378285888582468,-0.007718609417791997,-0.0032699416133321157
correct_minus_wrong_mean,-0.08993715099059044,-0.10934768451185128,-0.07344935962339143
correct_minus_wrong_best,-0.004853658135980363,-0.021634680603204993,0.010162724226228942
