task,train_seed,horizon,episode_id,num_anchors,global_mse,correct_mse,wrong_mean_mse,wrong_best_mse
pusht,0,1,0,11,0.16765106697990137,0.16081834576007994,0.21244889599355785,0.11799860203808005
pusht,0,1,1,7,0.10534376092255116,0.1028995332973344,0.1889776015388114,0.10608984157443047
pusht,0,1,2,12,0.039923361192146935,0.039020650166397296,0.16038190697630247,0.06745379976928234
pusht,0,1,3,15,0.12100811103979746,0.11348315527041754,0.20694126741339763,0.11962709290285906
pusht,0,1,4,12,0.1258050900263091,0.12182674246529739,0.18508562833691636,0.10631946257005136
pusht,0,1,5,5,0.03493425212800503,0.033938712999224664,0.1736633924767375,0.06843259297311306
pusht,0,1,6,8,0.07561611197888851,0.06623705057427287,0.16791252745315433,0.08556278143078089
pusht,0,1,7,8,0.19215878145769238,0.17771379044279456,0.22913003782741725,0.16101325815543532
pusht,0,1,8,4,0.030843489803373814,0.02711936319246888,0.13883318193256855,0.06409062817692757
pusht,0,1,9,9,0.14455576861898103,0.1415446506192287,0.20874685452630123,0.1340135085499949
pusht,0,1,10,9,0.03716272415800227,0.033102130931284696,0.16986733902659681,0.07901386047403018
