sample_seed,split,runs,n_mean,n_std,pca_residual_mean,pca_residual_std,pca_drift_mean,pca_drift_std,frame_residual_mean,frame_residual_std,frame_drift_mean,frame_drift_std,state_to_latent_r2_mean,state_to_latent_r2_std,latent_to_state_r2_mean,latent_to_state_r2_std,reference_overlap_ratio_mean,reference_overlap_ratio_std,pca_drift_over_iid_mean,pca_drift_over_iid_std,pca_residual_over_iid_mean,pca_residual_over_iid_std,frame_drift_over_iid_mean,frame_drift_over_iid_std,frame_residual_over_iid_mean,frame_residual_over_iid_std
1,common,5,3307.0,0.0,14.238927663506395,0.505529271434171,0.05478739076738721,0.029204564267305395,184.83723864187803,0.9800467895420739,0.13088265720104425,0.014361781172938197,0.057452360641069775,0.0009433896801769004,0.9998851813406255,4.396884504717318e-06,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,doorway_corridor,5,1436.0,6.745368781616021,4.294395954553915,0.5259145714160324,0.8403598515163878,0.14496018571613775,188.83644875791404,0.7929427936247185,1.2960488991813426,0.0015831924397473913,0.17946446563040447,0.0028726166851913123,0.999976501356758,5.129552380022565e-06,0.0,0.0,23.768397166797772,22.07529541887347,0.30109559947724607,0.029541388448742212,10.000953318052481,1.1242927821677111,1.0216422250381494,0.0019973114094059144
1,goal_other_side,5,11597.0,23.0,16.63634680012106,0.1490396334210945,1.1185552081725105,0.24986371144269592,262.69684506687236,0.8713006149137131,1.410336565681018,0.0011498062297212834,0.029422463524355492,0.0002754000187528248,0.9923901805060408,0.00018374152722363605,0.0,0.0,33.13523110183316,35.852530721049234,1.1696784141636394,0.046867599839976945,10.88249797132884,1.2200116194325568,1.4212461757889852,0.0033362399112469208
1,iid_nonoverlap,5,3307.0,0.0,14.238927663506395,0.505529271434171,0.05478739076738721,0.029204564267305395,184.83723864187803,0.9800467895420739,0.13088265720104425,0.014361781172938197,0.057934797451598866,0.0006390066999272723,0.9998804529437547,7.481423559760454e-06,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,left_room,5,6113.0,11.554220008291344,16.72938193842389,0.7600387790784364,0.913232643422664,0.3767496894188567,270.9748417722717,0.8297856877996072,1.4273045751751576,0.00486564781283024,0.07092337085311382,0.0002698757161268453,0.9992957093025441,6.601848215155776e-05,0.0,0.0,26.983976719836924,30.845347123088832,1.1762738067637162,0.07138017961287303,11.012315978590234,1.2208135365870953,1.4660326520929472,0.0033247287086071815
1,near_wall,5,5479.0,0.0,25.551746022613766,0.3425891588986256,1.682002232267661,0.2249491760735102,270.841677899102,0.8006698179213575,1.4967057638987347,0.0012461713828694457,0.0862546542939879,0.001298069309604955,0.9988631383207163,0.00010309519652738867,0.0,0.0,48.454558147511165,48.58967333042506,1.7958511903175,0.0508398966276144,11.549271665838297,1.2983532252647823,1.4653128486073885,0.0034674643208425513
1,reference,5,3306.0,0.0,14.696070913385235,0.6800212644463037,0.0,0.0,184.43249834440206,0.0348848852190432,0.0,0.0,0.056395480229199976,0.0007413721607324447,0.9998802023779382,5.8259615413185826e-06,1.0,0.0,0.0,0.0,1.0321320489389192,0.03118938801056552,0.0,0.0,0.9978323519031432,0.005203624586045536
1,right_room,5,6116.4,23.373061416938945,15.909063125166801,0.5018302826483846,1.4142135623730951,3.648565166692871e-16,266.34146980245254,0.7139140649887126,1.406055259066898,0.005699930187173076,0.07071093065727511,0.0015034308836016149,0.9989458780226272,0.0001545658629627492,0.0,0.0,41.31670112035424,41.448938107353904,1.118950878794726,0.06498186308124948,10.850355728248687,1.2287199721924404,1.4409675076114576,0.0038442199207845444
2,common,5,3327.0,0.0,13.24241472365012,0.5759922641709407,0.3064645925462896,0.6201177007774004,184.81650193317324,0.8621352677721732,0.1520186687343428,0.024829646251924097,0.05783091847110076,0.0013809626799900537,0.9998937803342587,1.697932092521812e-06,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2,doorway_corridor,5,1426.4,16.516658257650064,4.078512269391004,0.73930503141135,0.6679301791457566,0.6827940824737088,189.7897300107259,0.5080730354883165,1.2929177768730784,0.0018828332714476287,0.1771966800565203,0.005240742852885344,0.9999765045847772,3.741516260348623e-06,0.0,0.0,33.82092486770647,35.72910936112187,0.30926439968619174,0.06487404550309245,8.663320786448768,1.2160937138297554,1.0269169669268818,0.0022527245204450336
2,goal_other_side,5,11585.4,28.849610049357686,17.382565326029223,0.39061821193494684,0.8529365872744892,0.5927931740034978,263.3826606034077,0.8119534984537136,1.4111868293388088,0.0011757700979313297,0.029351316802630745,0.00034264888342659244,0.9928624418055522,0.00012347777689452233,0.0,0.0,141.29737418275718,283.8587411541884,1.3144906269368353,0.061341762829740194,9.454539923532232,1.3174015204949914,1.4251124386834713,0.002582978852585465
2,iid_nonoverlap,5,3327.0,0.0,13.24241472365012,0.5759922641709407,0.3064645925462896,0.6201177007774004,184.81650193317324,0.8621352677721732,0.1520186687343428,0.024829646251924097,0.05790843702839536,0.0009218888409941448,0.9998904034809778,5.499628325944664e-06,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2,left_room,5,6186.0,12.30853362509117,15.890974424331928,1.0399528678237508,1.0568685925367811,0.2582059359335048,271.4005889561735,0.6355917256887743,1.4245986144048322,0.006362137816337668,0.0703452324087617,0.0010440478083966172,0.9993346775160677,0.00012060924139686425,0.0,0.0,158.42998498057761,275.95936565695655,1.1996301742718058,0.04903665091130269,9.545731428418517,1.3421530942452158,1.4684995798696387,0.003457624074633306
2,near_wall,5,5468.0,0.0,26.84207041647672,0.5964679398526055,1.3731876906062326,0.3580149929231229,271.9070800790276,0.6382596260292741,1.4967729823581852,0.001284892692794877,0.08790414287188737,0.0009262889297680096,0.9989751027247389,5.770471136585518e-05,0.0,0.0,163.00721943919066,273.25546492951776,2.028933981073259,0.06455378084505935,10.027911447023273,1.3968164992084586,1.471240352297095,0.0035975746903734876
2,reference,5,3328.0,0.0,13.951025125100166,0.5343264177575857,0.0,0.0,184.4163875639931,0.022798291635839213,0.0,0.0,0.05581798555964823,0.0009986580195343422,0.9998839562222028,3.7188581952052646e-06,1.0,0.0,0.0,0.0,1.0540843370795634,0.03245988362303561,0.0,0.0,0.9978526969358623,0.004723853193065501
2,right_room,5,6133.0,23.33452377915607,16.94427804904724,0.5877019887444948,1.3886509405127812,0.29768027898114513,266.6740806702184,0.6202214529443462,1.4121748440838413,0.005937907605126547,0.07136197299671639,0.0006671381136035435,0.9992434020092293,0.0001112793980646395,0.0,0.0,184.08352803062118,315.0306515163598,1.2799906662589244,0.017154362945635267,9.46034053848146,1.3112890766284937,1.4429254437064045,0.003451614257289311
