"method_id","method_label","seed_type","n_method_seeds","mean_percent","sd_percent","x_position","lower","upper","label_y","value_label"
"baseline","Official
baseline","official",1,49.2,NA,1,NA,NA,49.9,"49.2%"
"joint3","Joint-Continue
3ep","fine_tuning",3,53.0666666666667,1.22202018532156,2,51.8446464813451,54.2886868519882,55.0086868519882,"53.1 <U+00B1> 1.2%"
"globalft50","Global-FT
50ep","fine_tuning",3,58.1333333333333,1.22202018532156,3,56.9113131480118,59.3553535186549,60.0753535186549,"58.1 <U+00B1> 1.2%"
"random","Random-Voronoi
K3-50","fine_tuning",3,59.3333333333333,0.581186525809247,4,58.7521468075241,59.9145198591426,60.6345198591426,"59.3 <U+00B1> 0.6%"
"kmeans","K-means++
K3-50","fine_tuning",3,58.4444444444667,1.07772050246943,5,57.3667239419972,59.5221649469361,60.2421649469361,"58.4 <U+00B1> 1.1%"
"spectral","Spectral
K3-50","fine_tuning",3,61.3777777778,0.630108750161135,6,60.7476690276389,62.0078865279611,62.7278865279611,"61.4 <U+00B1> 0.6%"
"rooms3","Human partition
rooms3-50","fine_tuning",3,59.8666666666667,1.51437555888007,7,58.3522911077866,61.3810422255467,62.1010422255467,"59.9 <U+00B1> 1.5%"
