method,mean_percent,sd_across_finetuning_seeds_percent,num_finetuning_seeds,num_partition_seeds,num_eval_seeds,eval_seed_sd_percent
Official baseline,83.6,,0,0,5,6.06630035524124
Global-FT50,85.06666666666666,1.0066445913694335,3,0,5,6.79775873428322
K-means++,84.0,0.7423685817106708,3,3,5,6.338913012640115
Spectral,84.0,1.9910912697424101,3,3,5,5.393598899705936
Auto-LAP,85.06666666666666,1.0066445913694335,3,1,5,6.79775873428322
