model,task,horizon,method_a,method_b,point_difference_pp,ci_low_pp,ci_high_pp,pr_delta_gt_zero,n_common_eval_blocks,n_bootstrap,resampling_unit
lewm,tworoom,long,Auto-LAP,Human partition rooms3-50,1.7333333333333343,-1.6000000000000014,4.266666666666673,0.8584,5,50000,eval-block
lewm,tworoom,short,Auto-LAP,Official baseline,1.0666666666666487,-2.0,4.0,0.721,5,50000,eval-block
lewm,tworoom,short,Auto-LAP,Joint-Continue 3ep,0.5333333333333314,-2.933333333333337,4.266666666666666,0.57724,5,50000,eval-block
lewm,tworoom,short,Auto-LAP,Global-FT50,1.3333333333333286,-1.2000000000000028,3.6000000000000085,0.87052,5,50000,eval-block
lewm,tworoom,short,Auto-LAP,Random-Voronoi,-2.842170943040401e-14,-1.8222222222222229,1.73333333333332,0.49374,5,50000,eval-block
lewm,tworoom,short,Auto-LAP,K-means++,-0.04444444444445139,-1.8666666666666742,2.0,0.45136,5,50000,eval-block
lewm,tworoom,short,Auto-LAP,Spectral,0.04444444444443718,-0.8000000000000114,1.1111111111111,0.52776,5,50000,eval-block
lewm,tworoom,short,Auto-LAP,Human partition rooms3-50,-0.4000000000000057,-2.0,1.4666666666666686,0.28208,5,50000,eval-block
subjepa,cube,long,Auto-LAP,Official Sub-JEPA,-2.13333333333334,-5.733333333333327,1.7333333333333343,0.12628,5,50000,eval-block
subjepa,cube,long,Auto-LAP,Global-FT50,0.0,0.0,0.0,0.0,5,50000,eval-block
subjepa,cube,long,Auto-LAP,K-means++,2.0888888888888815,0.13333333333333286,4.178888888888967,0.97974,5,50000,eval-block
subjepa,cube,long,Auto-LAP,Spectral,1.0666666666666629,-2.13333333333334,4.222222222222207,0.74074,5,50000,eval-block
subjepa,cube,short,Auto-LAP,Official Sub-JEPA,-4.800000000000011,-7.199999999999996,-2.3999999999999915,0.0,5,50000,eval-block
subjepa,cube,short,Auto-LAP,Global-FT50,0.0,0.0,0.0,0.0,5,50000,eval-block
subjepa,cube,short,Auto-LAP,K-means++,-2.4000000000000057,-5.466666666666669,0.7111111111111086,0.05464,5,50000,eval-block
subjepa,cube,short,Auto-LAP,Spectral,-2.8000000000000114,-5.066666666666663,-0.22222222222221433,0.01864,5,50000,eval-block
subjepa,pusht,long,Auto-LAP,Official Sub-JEPA,7.600000000000001,6.0,9.06666666666667,1.0,5,50000,eval-block
subjepa,pusht,long,Auto-LAP,Global-FT50,0.0,0.0,0.0,0.0,5,50000,eval-block
subjepa,pusht,long,Auto-LAP,K-means++,3.4666666666666686,1.5555555555555571,5.777777777777786,0.99962,5,50000,eval-block
subjepa,pusht,long,Auto-LAP,Spectral,2.311111111111117,0.17777777777777004,4.844444444444463,0.98286,5,50000,eval-block
subjepa,pusht,short,Auto-LAP,Official Sub-JEPA,2.13333333333334,-1.3333333333333286,5.333333333333343,0.8794,5,50000,eval-block
