model,task,horizon,method,point_estimate,bootstrap_mean,bootstrap_std,ci_low,ci_high,n_train_seeds,n_partition_seeds,n_eval_blocks,episodes_per_block,n_bootstrap,resampling_unit,status
lewm,tworoom,long,Joint-Continue 3ep,53.06666666666666,53.08129333333334,2.149036480368715,48.666666666666664,57.2,3,0,5,50,50000,eval-block,ok
lewm,tworoom,long,Global-FT50,58.133333333333326,58.13264,1.7798024008174491,54.8,61.733333333333334,3,0,5,50,50000,eval-block,ok
lewm,tworoom,long,Random-Voronoi,59.333333333333336,59.33350755555556,1.264951060105265,57.02222222222222,62.17777777777778,3,3,5,50,50000,eval-block,ok
lewm,tworoom,long,K-means++,58.44444444444445,58.4404248888889,1.8317415638548447,54.84444444444444,62.17777777777778,3,3,5,50,50000,eval-block,ok
lewm,tworoom,long,Spectral,61.37777777777777,61.36823199999999,1.7454796586097625,58.17777777777778,64.88888888888889,3,3,5,50,50000,eval-block,ok
lewm,tworoom,long,Human partition rooms3-50,59.86666666666667,59.869450666666665,1.377689944318871,56.93333333333333,62.4,3,0,5,50,50000,eval-block,ok
lewm,tworoom,long,Auto-LAP,61.6,61.59177333333333,1.8752227392914038,58.0,65.2,3,1,5,50,50000,eval-block,ok
lewm,tworoom,short,Official baseline,90.4,90.41819199999999,1.89895683235191,86.8,94.0,0,0,5,50,50000,eval-block,ok
lewm,tworoom,short,Joint-Continue 3ep,90.93333333333332,90.95893866666667,2.3540849437648688,86.13333333333334,95.06666666666666,3,0,5,50,50000,eval-block,ok
lewm,tworoom,short,Global-FT50,90.13333333333333,90.14355733333335,1.5034675190821754,86.93333333333334,92.8,3,0,5,50,50000,eval-block,ok
lewm,tworoom,short,Random-Voronoi,91.46666666666668,91.47631911111111,1.3237925411652092,88.84444444444443,94.00000000000001,3,3,5,50,50000,eval-block,ok
lewm,tworoom,short,K-means++,91.5111111111111,91.52707644444443,1.4467322606679802,88.4,94.0888888888889,3,3,5,50,50000,eval-block,ok
lewm,tworoom,short,Spectral,91.42222222222222,91.42968266666668,1.0382896506075834,89.37777777777778,93.46666666666668,3,3,5,50,50000,eval-block,ok
lewm,tworoom,short,Human partition rooms3-50,91.86666666666666,91.87312266666666,1.251428023436337,89.6,94.53333333333333,3,0,5,50,50000,eval-block,ok
lewm,tworoom,short,Auto-LAP,91.46666666666665,91.47293066666668,0.8946626217454514,89.6,93.2,3,1,5,50,50000,eval-block,ok
subjepa,cube,long,Official Sub-JEPA,51.2,51.21919199999999,2.293541468370694,46.8,56.0,0,0,5,50,50000,eval-block,ok
subjepa,cube,long,Global-FT50,49.06666666666666,49.097215999999996,3.3632045671435318,42.666666666666664,55.86666666666667,3,0,5,50,50000,eval-block,ok
subjepa,cube,long,K-means++,46.97777777777778,47.00020533333332,2.8078095460210797,41.64444444444445,52.79999999999999,3,3,5,50,50000,eval-block,ok
subjepa,cube,long,Spectral,48.0,48.014679111111114,2.3415583099207056,43.60000000000001,52.75555555555557,3,3,5,50,50000,eval-block,ok
subjepa,cube,long,Auto-LAP,49.06666666666666,49.097215999999996,3.3632045671435318,42.666666666666664,55.86666666666667,3,0,5,50,50000,eval-block,ok
subjepa,cube,short,Official Sub-JEPA,69.2,69.222072,2.375587006787164,64.4,73.6,0,0,5,50,50000,eval-block,ok
subjepa,cube,short,Global-FT50,64.39999999999999,64.421136,2.21938078014607,60.0,68.53333333333333,3,0,5,50,50000,eval-block,ok
subjepa,cube,short,K-means++,66.8,66.81887111111111,2.545918135035225,61.55555555555556,71.33333333333334,3,3,5,50,50000,eval-block,ok
subjepa,cube,short,Spectral,67.2,67.22101155555555,1.8826375288808008,63.555555555555564,70.84444444444443,3,3,5,50,50000,eval-block,ok
subjepa,cube,short,Auto-LAP,64.39999999999999,64.421136,2.21938078014607,60.0,68.53333333333333,3,0,5,50,50000,eval-block,ok
subjepa,pusht,long,Official Sub-JEPA,38.8,38.789168,4.225817538391358,31.2,46.8,0,0,5,50,50000,eval-block,ok
subjepa,pusht,long,Global-FT50,46.4,46.388714666666665,4.075072658810502,39.2,54.93333333333333,3,0,5,50,50000,eval-block,ok
subjepa,pusht,long,K-means++,42.93333333333333,42.93035911111111,3.7420455386407876,35.733333333333334,50.400000000000006,3,3,5,50,50000,eval-block,ok
subjepa,pusht,long,Spectral,44.08888888888888,44.092127999999995,3.600931898178539,37.333333333333336,51.86666666666665,3,3,5,50,50000,eval-block,ok
