method,mean_percent,sd_across_finetuning_seeds_percent,num_finetuning_seeds,num_partition_seeds,num_eval_seeds,eval_seed_sd_percent
Official baseline,87.2,,0,0,5,5.761944116355173
Joint-Continue 3ep,84.53333333333335,1.803699901129162,3,0,5,4.983783225431784
Global-FT50,82.93333333333334,1.0066445913694335,3,0,5,7.478222350519508
Random-Voronoi,83.95555555555556,1.8200529092838502,3,3,5,5.55123063979165
K-means++,85.73333333333333,0.7999999999999972,3,3,5,5.761944116355173
Spectral,84.08888888888889,0.6012333003763874,3,3,5,5.169061028774173
