split,n,one_step_mse,one_step_mse_std,rollout_h1_mse,rollout_h1_mse_std,rollout_h5_mse,rollout_h5_mse_std,rollout_h10_mse,rollout_h10_mse_std,jacobian_samples,rule_drift,rule_diff_fro,reference_jacobian_fro,mean_jacobian_fro,mean_within_jacobian_std,reference_within_jacobian_std,iid_bootstrap_mean,iid_bootstrap_std,rule_excess_vs_iid,rule_z_vs_iid
doorway_corridor,451,0.10239039361476898,0.07119762897491455,0.10239039361476898,0.07119762897491455,0.5653129816055298,0.4388977289199829,0.905854344367981,0.7148940563201904,64,1.3895049095153809,0.5523978471755981,0.397550106048584,0.44476979970932007,0.0,0.0,1.4566103935241699,0.6416899454412552,-0.06710548400878902,-0.10457618120000253
goal_other_side,4095,0.08451919257640839,0.057419776916503906,0.08451919257640839,0.057419776916503906,0.5831519961357117,0.4345177412033081,1.206599473953247,0.6238698363304138,64,2.318455696105957,0.9217023253440857,0.397550106048584,0.8604568839073181,0.0,0.0,1.4566103935241699,0.6416899454412552,0.8618453025817872,1.3430868111667231
iid_holdout,781,0.09667272865772247,0.08225911110639572,0.09667272865772247,0.08225911110639572,0.6908238530158997,0.4510729908943176,1.1838942766189575,0.6735560297966003,64,2.149775981903076,0.8546436429023743,0.397550106048584,0.727571427822113,0.0,0.0,1.4566103935241699,0.6416899454412552,0.6931655883789063,1.0802188709707363
left_room,1532,0.08406971395015717,0.04707234352827072,0.08406971395015717,0.04707234352827072,0.5651692152023315,0.4390944838523865,1.232247233390808,0.6199801564216614,64,2.993384599685669,1.1900203227996826,0.397550106048584,1.0723447799682617,0.0,0.0,1.4566103935241699,0.6416899454412552,1.536774206161499,2.3948859056882186
near_wall,1399,0.07454802840948105,0.05079743638634682,0.07454802840948105,0.05079743638634682,0.4577115774154663,0.40372589230537415,1.1148983240127563,0.6148988008499146,64,2.007719039916992,0.7981688976287842,0.397550106048584,0.5858945250511169,0.0,0.0,1.4566103935241699,0.6416899454412552,0.5511086463928223,0.8588394602520943
reference,782,0.09472482651472092,0.06734509766101837,0.09472482651472092,0.06734509766101837,0.7159536480903625,0.4513323903083801,1.2080904245376587,0.6765360832214355,64,0.0,0.0,0.397550106048584,0.397550106048584,0.0,0.0,1.4566103935241699,0.6416899454412552,-1.4566103935241699,-2.2699598207359606
right_room,1511,0.07653791457414627,0.04201710224151611,0.07653791457414627,0.04201710224151611,0.5669670104980469,0.409896582365036,1.2664343118667603,0.5745226740837097,64,0.8779084086418152,0.3490125834941864,0.397550106048584,0.2774863541126251,0.0,0.0,1.4566103935241699,0.6416899454412552,-0.5787019848823547,-0.901840505672114
