trial,n,pca_drift,pca_residual_ratio,frame_drift,frame_residual_ratio
0,1000,0.07019794098476057,0.9535398174924254,0.3258521122657617,0.9978415914505788
1,1000,0.02942740277366197,0.9611952709913167,0.2974592770406081,0.9918271054357399
2,1000,0.055329613948784225,0.8675609620304591,0.28262615172266353,0.9912450298763258
3,1000,0.11329848078364892,1.0055604283562563,0.3099659217986288,0.9994452372215411
4,1000,0.1351620040731923,1.067116711580375,0.31609201717736185,1.0021499342277063
5,1000,0.013476235102740005,0.9425503587766262,0.32488166599460205,1.0013919122435628
6,1000,0.019993190787222614,0.9514207296819315,0.2919232451475912,0.994409452447834
7,1000,0.030867057318758804,0.970946029715387,0.33659152639900014,0.9957041023185337
8,1000,0.08014833813347366,0.9331451805895314,0.29196203815949306,0.995260201753373
9,1000,0.0965625583564399,0.8887133615104454,0.30887669333366147,0.9873481179398002
10,1000,0.10239013505017781,0.9169798911647407,0.3275679590423574,0.9903375865008692
11,1000,0.027995752880077305,1.0020698963822523,0.34330276306778157,0.9951274517942356
12,1000,0.21461919035911126,0.9633816952071015,0.34001342856779887,1.0054169611317798
13,1000,0.2628227055786747,0.995166191674436,0.3377850663873707,1.0030600309819728
14,1000,0.045230492179640355,0.9073999692559157,0.3180016124040248,0.9888121168020346
15,1000,0.15961435915393668,0.9869079420571623,0.3119418807273671,0.9983625850934039
16,1000,0.08558929528393626,0.9419188111943619,0.2837606020949601,0.9953239670345758
17,1000,0.2103063587369106,0.9581600329548284,0.2960523378955378,1.000335360005578
18,1000,0.10273554674313179,1.0473688393504146,0.30701135994497425,0.999686335561863
19,1000,0.017550163303691003,1.0197835763909264,0.3296791824063134,1.0027211838197092
