metric,paper_method,correct,total,full_grid_accuracy,direction,threshold,threshold_source
mean_pairwise_response,11,1,12,0.08333333333333333,higher,0.016278600076199752,K4_excluding_pusht_balanced_accuracy
minimum_pairwise_response,12,2,12,0.16666666666666666,higher,0.01332538172368905,K4_excluding_pusht_balanced_accuracy
