task,seed,knn,global_idx,umap_1,umap_2,aligned_cluster,agrees_with_nominal
tworoom,0,27,27152,7.07553864,-1.70809698,1,1
tworoom,0,27,27203,7.98212957,10.82070255,3,1
tworoom,0,27,27233,8.34095764,-1.11810255,1,1
tworoom,0,27,27344,7.26316071,-1.15581965,1,1
tworoom,0,27,27361,4.60322618,-2.96808839,1,1
tworoom,0,27,27405,8.29624367,-3.33232498,1,1
tworoom,0,27,27515,-1.41436577,9.74114799,2,1
tworoom,0,27,27524,-3.43753695,8.10608101,2,1
tworoom,0,27,27547,12.18863678,0.65024436,1,1
tworoom,0,27,27595,7.81803179,-5.45147562,1,1
tworoom,0,27,27639,11.20963764,13.97913647,3,1
tworoom,0,27,27682,12.03268528,10.32777214,3,1
tworoom,0,27,27721,-0.62906110,5.61494493,2,1
tworoom,0,27,27775,-0.17918348,12.45820808,2,1
tworoom,0,27,27820,15.30524445,4.05085707,3,1
tworoom,0,27,27822,15.19925594,3.07959080,3,1
tworoom,0,27,27840,9.37742329,-3.31393242,1,1
tworoom,0,27,27898,13.99361801,1.92476451,3,1
tworoom,0,27,27973,8.60356903,6.12812948,3,1
tworoom,0,27,28069,12.24022007,-4.02350092,1,1
tworoom,0,27,28106,-4.73681641,1.97962892,2,1
tworoom,0,27,28336,-3.54378128,11.25613689,2,1
tworoom,0,27,28375,-0.23121110,-0.40096894,1,1
tworoom,0,27,28395,2.55579901,1.88425839,1,1
tworoom,0,27,28441,1.88753152,-6.86883593,1,1
tworoom,0,27,28498,16.00586128,10.42782974,3,1
tworoom,0,27,28617,-3.99835658,10.30552673,2,1
tworoom,0,27,28632,-4.70274544,4.51654196,2,1
tworoom,0,27,28658,-4.43994045,2.78512526,2,1
tworoom,0,27,28693,12.59522152,0.38683960,1,1
tworoom,0,27,28758,-1.93568599,14.74609852,2,1
tworoom,0,27,28829,9.05649853,5.82710266,3,1
tworoom,0,27,28860,15.05067730,11.33409500,3,1
tworoom,0,27,28879,-3.39793611,8.71522617,2,1
tworoom,0,27,28914,1.43064499,6.27109480,2,1
tworoom,0,27,29084,4.89496469,-4.86349773,1,1
tworoom,0,27,29317,-5.27165747,0.88554895,2,1
tworoom,0,27,29342,-3.54110456,12.70741749,2,1
tworoom,0,27,29371,1.07542872,3.56464434,2,1
tworoom,0,27,29386,2.32483840,3.88290858,2,1
tworoom,0,27,29495,3.29918289,-7.16031313,1,1
tworoom,0,27,29500,10.23011303,-1.99650180,1,1
tworoom,0,27,29583,3.75552869,-1.32445574,1,1
tworoom,0,27,29626,-3.58285332,15.81808376,2,1
tworoom,0,27,29655,-0.62989032,6.69881010,2,1
tworoom,0,27,29697,8.52020168,5.06118202,3,1
