task,method,num_clusters,partition_seed,train_transitions,heldout_transitions,global_affine_heldout_mse,regional_affine_heldout_mse,regional_to_global_mse_ratio,regional_gain_fraction,normalized_regional_residual_energy,normalized_regional_residual_l2,worst_region_normalized_residual_energy,worst_region_normalized_residual_l2
tworoom,spectral,4,0,713528,177935,155.7787933352255,154.79141388152306,0.9936616568111575,0.0063383431888425065,0.9918317289321789,0.9959074901476436,0.993139308978194,0.9965637505840728
tworoom,spectral,4,1,713528,177935,155.7787933352255,154.7994903333215,0.9937135024547494,0.006286497545250539,0.991883479096804,0.9959334712202437,0.9929213623733585,0.9964543955311544
tworoom,spectral,4,2,713528,177935,155.7787933352255,154.79524386542798,0.9936862428528318,0.006313757147168145,0.9918562696961849,0.9959198108764504,0.992903483867951,0.9964454244302349
tworoom,gmm,4,0,713528,177935,155.7787933352255,154.21754323686503,0.989977775119873,0.01002222488012701,0.9881546314795367,0.9940596719913432,0.9904230320748333,0.9951999960183044
tworoom,gmm,4,1,713528,177935,155.7787933352255,154.51038281660922,0.9918576175135294,0.008142382486470605,0.9900310119543593,0.9950030210780062,0.9928527975618463,0.9964199905470816
tworoom,gmm,4,2,713528,177935,155.7787933352255,154.1898199548696,0.9897998094199091,0.010200190580090909,0.9879769935213083,0.9939703182295275,0.993230365905995,0.9966094349874454
tworoom,kmeanspp,4,0,713528,177935,155.7787933352255,152.92786666396913,0.9816988781963322,0.01830112180366783,0.9798909809773346,0.9898944292081528,0.9848240025933747,0.9923829918904166
tworoom,kmeanspp,4,1,713528,177935,155.7787933352255,152.75166011268215,0.9805677450843443,0.01943225491565565,0.9787619309607365,0.9893239767440879,0.9811317659090617,0.9905209568247719
tworoom,kmeanspp,4,2,713528,177935,155.7787933352255,152.9615767131115,0.9819152751038999,0.018084724896100128,0.9801069793682331,0.9900035249271758,0.9840692093722582,0.9920026256881874
pusht,spectral,4,0,1825387,455846,2.1102833076671725,2.062921385589197,0.9775566048852785,0.022443395114721494,0.9540979321395401,0.9767793671753822,0.9637782160261369,0.9817220665881647
pusht,spectral,4,1,1825387,455846,2.1102833076671725,2.063905588588259,0.978022989183295,0.02197701081670498,0.9545531244957637,0.9770123461327209,0.9628112633434776,0.9812294651830822
pusht,spectral,4,2,1825387,455846,2.1102833076671725,2.062563459793793,0.9773869945803004,0.02261300541969959,0.9539323920158884,0.9766946257740381,0.961292543025729,0.9804552733428124
pusht,gmm,4,0,1825387,455846,2.1102833076671725,2.0579735597111024,0.9752119785215492,0.024788021478450828,0.9518095703668359,0.975607282858649,0.9649498752901158,0.9823186220825276
pusht,gmm,4,1,1825387,455846,2.1102833076671725,2.054083062351555,0.9733683884474523,0.02663161155254769,0.9500102213893769,0.9746846779289068,0.9608663130280445,0.9802378859379209
pusht,gmm,4,2,1825387,455846,2.1102833076671725,2.065369655765711,0.9787167667306663,0.021283233269333665,0.9552302532881058,0.9773588150152972,0.9624109704932796,0.9810254688300807
pusht,kmeanspp,4,0,1825387,455846,2.1102833076671725,2.0777431394790766,0.9845801897452017,0.015419810254798284,0.9609529702596556,0.9802820870849653,0.9689600648499401,0.9843576915176414
pusht,kmeanspp,4,1,1825387,455846,2.1102833076671725,2.0731781243507834,0.9824169659203686,0.01758303407963138,0.9588416578633054,0.9792046046987858,0.9629130544934235,0.9812813329995753
pusht,kmeanspp,4,2,1825387,455846,2.1102833076671725,2.0793302187231726,0.9853322590234497,0.014667740976550329,0.9616869919414858,0.9806564087087208,0.966705986805268,0.9832120762100454
reacher,spectral,4,0,1584050,396102,13.561748987263172,13.482088253265346,0.994126072229132,0.005873927770868034,0.9937759685104693,0.9968831268059809,0.99421819075922,0.9971049045908961
reacher,spectral,4,1,1584050,396102,13.561748987263172,13.481863435945703,0.9941094949189448,0.005890505081055205,0.9937593970383526,0.9968748151289372,0.9948833691100768,0.9974384036671522
reacher,spectral,4,2,1584050,396102,13.561748987263172,13.482767880821784,0.9941761857917024,0.0058238142082975295,0.9938260644244286,0.9969082527617216,0.9946117457595283,0.9973022339088228
reacher,gmm,4,0,1584050,396102,13.561748987263172,13.433714000941011,0.9905591095630506,0.009440890436949413,0.9902102620300254,0.9950930921426524,0.993099115210476,0.9965435842001472
reacher,gmm,4,1,1584050,396102,13.561748987263172,13.451524272722923,0.9918723820471999,0.008127617952800174,0.9915230720159129,0.9957525154454359,0.9949859474064174,0.9974898232094488
reacher,gmm,4,2,1584050,396102,13.561748987263172,13.417833677106728,0.9893881452686076,0.010611854731392366,0.9890397101168338,0.9945047562062405,0.9930438586780308,0.996515859722278
reacher,kmeanspp,4,0,1584050,396102,13.561748987263172,13.418301343013404,0.9894226294569756,0.010577370543024388,0.9890741821608239,0.9945220873167292,0.991889285304044,0.9959363861733559
reacher,kmeanspp,4,1,1584050,396102,13.561748987263172,13.39573590571324,0.9877587262744763,0.012241273725523718,0.9874108649590245,0.9936854959991237,0.9908907608904378,0.9954349606530996
reacher,kmeanspp,4,2,1584050,396102,13.561748987263172,13.366202224585468,0.9855810070764945,0.014418992923505408,0.9852339126935388,0.9925894985811299,0.9906977719570117,0.9953380189448264
cube,spectral,4,0,1584050,396102,4.221181191549829,4.099979448666593,0.9712872446399923,0.028712755360007673,0.9529178115852479,0.9761750926884213,0.9667948800043689,0.9832572806770203
cube,spectral,4,1,1584050,396102,4.221181191549829,4.095401054829889,0.9702026207802373,0.029797379219762703,0.951853700632968,0.975629899415228,0.9550611928206695,0.9772723227538317
cube,spectral,4,2,1584050,396102,4.221181191549829,4.096136166069882,0.9703767690118897,0.029623230988110268,0.9520245552928159,0.975717456691647,0.9560539464285086,0.9777801114915913
cube,gmm,4,0,1584050,396102,4.221181191549829,4.08696818525871,0.9682048696322743,0.03179513036772573,0.9498937318775721,0.974624918559736,0.9540516309991883,0.9767556659672819
cube,gmm,4,1,1584050,396102,4.221181191549829,4.096128437291551,0.9703749380603195,0.029625061939680546,0.9520227589690475,0.9757165361768999,0.9624031675474666,0.9810214918886673
cube,gmm,4,2,1584050,396102,4.221181191549829,4.091910373845976,0.9693756766559479,0.030624323344052098,0.9510423960579621,0.9752140257697087,0.9579800357687716,0.9787645456230888
cube,kmeanspp,4,0,1584050,396102,4.221181191549829,4.137801186398114,0.9802472338030339,0.01975276619696612,0.9617083452941897,0.9806672959236429,0.9741306998930237,0.9869805975261234
cube,kmeanspp,4,1,1584050,396102,4.221181191549829,4.141579492364513,0.9811423164339245,0.018857683566075478,0.962586499708883,0.9811149268607032,0.9792983921863557,0.9895950647544458
cube,kmeanspp,4,2,1584050,396102,4.221181191549829,4.138243005101348,0.9803519008815563,0.019648099118443636,0.9618110328605725,0.9807196504917052,0.9724399174334304,0.9861236826247661
