task,method,num_clusters,runs,global_same_cache_eval_loss_mean,regional_weighted_same_cache_eval_loss_mean,regional_minus_global_loss_mean,relative_regional_gain_mean,relative_regional_gain_sd
pusht,spectral,4,9,0.001381494575266616,0.0011984688746478614,-0.0001830257006187547,0.13246258608751663,0.005705801832136761
pusht,gmm,4,9,0.001381494575266616,0.0012249611855750053,-0.0001565333896916106,0.11327761856405111,0.010264625749655426
pusht,kmeanspp,4,9,0.001381494575266616,0.0012437677062530112,-0.0001377268690136049,0.09966376556854667,0.007822511292062073
reacher,spectral,4,9,0.019778052367374503,0.02092411973925312,0.0011460673718786162,-0.057946439575714395,0.0006534734071672118
reacher,gmm,4,9,0.019778052367374503,0.02092281035400331,0.001144757986628807,-0.057880186698277686,0.0013707033746279006
reacher,kmeanspp,4,9,0.019778052367374503,0.020906157551370808,0.001128105183996306,-0.05703832114461733,0.0009596484497488925
cube,spectral,4,9,0.0008587211508824291,0.000755703715365644,-0.00010301743551678496,0.1199490254993474,0.00824175462610517
cube,gmm,4,9,0.0008587211508824291,0.0007585877083657454,-0.00010013344251668361,0.11657313475358899,0.007553750492996318
cube,kmeanspp,4,9,0.0008587211508824291,0.0008301636989135965,-2.855745196883259e-05,0.033199304081275464,0.0111748248552861
