task,method,num_clusters,partition_seed,train_seed,global_same_cache_eval_loss,regional_weighted_same_cache_eval_loss,regional_minus_global_loss,relative_regional_gain,min_region_loss,max_region_loss
pusht,spectral,4,0,0,0.0013896806668487326,0.0011935074724714852,-0.00019617319437724738,0.14116422503170717,0.001117874602094288,0.0012280065351767324
pusht,spectral,4,0,42,0.0013728413285646534,0.0011992209155194011,-0.00017362041304525228,0.12646793874334888,0.0011399850232973812,0.001221883520950986
pusht,spectral,4,0,625,0.001381961730386462,0.001204787749657348,-0.0001771739807291139,0.1282046939748235,0.0011263953122763468,0.0012581572799277864
pusht,spectral,4,1,0,0.0013896806668487326,0.0012026700610511553,-0.0001870106057975773,0.13457091996656054,0.0011323568979427258,0.0012527246473608435
pusht,spectral,4,1,42,0.0013728413285646534,0.001190986286543233,-0.0001818550420214205,0.13246617670780306,0.001123038603909614,0.001231839268033928
pusht,spectral,4,1,625,0.001381961730386462,0.0012022288811692474,-0.0001797328492172145,0.13005631434305542,0.0011299784263588146,0.0012513570318349408
pusht,spectral,4,2,0,0.0013896806668487326,0.0011960603073331042,-0.00019362035951562846,0.13932723116504586,0.0011485064250408839,0.0012478561370267438
pusht,spectral,4,2,42,0.0013728413285646534,0.0012020003342865528,-0.00017084099427810062,0.12444336481093556,0.001156608499676196,0.0012700563697208343
pusht,spectral,4,2,625,0.001381961730386462,0.0011947578637992245,-0.00018720386658723745,0.1354624100443696,0.0011649407431811672,0.0012219836415301724
pusht,gmm,4,0,0,0.0013896806668487326,0.0012301026884158467,-0.00015957797843288587,0.11483068178155494,0.0010041851589404967,0.0013425578721970703
pusht,gmm,4,0,42,0.0013728413285646534,0.0012476398330363854,-0.00012520149552826807,0.0911988100323072,0.0010230251756107684,0.0013575076462604592
pusht,gmm,4,0,625,0.001381961730386462,0.001236935557513018,-0.000145026172873444,0.10494224961850993,0.0010269424052244552,0.001344394998378951
pusht,gmm,4,1,0,0.0013896806668487326,0.001211895421772763,-0.00017778524507596968,0.12793244470984763,0.00110141736807232,0.0012527422775019145
pusht,gmm,4,1,42,0.0013728413285646534,0.0012154446101008507,-0.00015739671846380274,0.11465033517629143,0.0011097735207469322,0.0012429700641682381
pusht,gmm,4,1,625,0.001381961730386462,0.0012204638338460573,-0.00016149789654040466,0.11686133775588865,0.0010877895530127931,0.0012520437068914813
pusht,gmm,4,2,0,0.0013896806668487326,0.0012226539741703897,-0.00016702669267834288,0.12019070039816838,0.0010735947734523124,0.0012931058894445613
pusht,gmm,4,2,42,0.0013728413285646534,0.0012175474119081801,-0.0001552939166564733,0.11311862006575642,0.0010839045296612353,0.0012766613140598197
pusht,gmm,4,2,625,0.001381961730386462,0.001221967339411558,-0.00015999439097490404,0.11577338753813539,0.001076698041920967,0.001277473522714603
pusht,kmeanspp,4,0,0,0.0013896806668487326,0.001242270796702984,-0.00014740987014574868,0.10607463546284933,0.001081861081392411,0.0013530819904541455
pusht,kmeanspp,4,0,42,0.0013728413285646534,0.001255480746081347,-0.00011736058248330633,0.0854873611694152,0.0010998466812590182,0.0013538027874522057
pusht,kmeanspp,4,0,625,0.001381961730386462,0.0012457363398272717,-0.00013622539055919026,0.0985739239834776,0.0010868063154617436,0.0013458343851435882
pusht,kmeanspp,4,1,0,0.0013896806668487326,0.001237717536111205,-0.00015196313073752754,0.10935111523291328,0.0012020027725105989,0.001260420537547473
pusht,kmeanspp,4,1,42,0.0013728413285646534,0.0012332118300778228,-0.00013962949848683064,0.10170840255284087,0.0011924758450554112,0.001251399478627804
pusht,kmeanspp,4,1,625,0.001381961730386462,0.0012419924361760668,-0.00013996929421039518,0.10128304650755643,0.001226014831264545,0.0012625111693330253
pusht,kmeanspp,4,2,0,0.0013896806668487326,0.0012416116914392154,-0.00014806897540951716,0.10654892087207438,0.001164181627735734,0.0013069490050260067
pusht,kmeanspp,4,2,42,0.0013728413285646534,0.001249446149263148,-0.00012339517930150539,0.08988305985114735,0.0011749640842799072,0.0013175052136276066
