task,method,num_clusters,partition_seed,region,train_transitions,heldout_transitions,heldout_mse,heldout_response_energy,normalized_residual_energy,normalized_residual_l2
tworoom,spectral,4,0,0,156377,38734,115.49444639035362,116.7549121688011,0.9892041734687348,0.9945874388251316
tworoom,spectral,4,0,1,155982,38748,115.95139034715753,117.13179356890355,0.9899224353543973,0.9949484586421536
tworoom,spectral,4,0,2,204472,51571,191.06673668085642,192.3866419882607,0.993139308978194,0.9965637505840728
tworoom,spectral,4,0,3,196697,48882,178.44730559274865,179.76067178722496,0.9926938068187079,0.9963402063646272
tworoom,spectral,4,1,0,198865,49360,179.5204921249762,180.82778400710967,0.9927705142806922,0.9963787002343497
tworoom,spectral,4,1,1,159808,39761,118.43712821887833,119.60804693289718,0.9902103684154648,0.9950931455976696
tworoom,spectral,4,1,2,154206,38198,113.56135413577017,114.75542588680756,0.9895946379719318,0.9947837141670203
tworoom,spectral,4,1,3,200649,50616,190.376966982412,191.734183790102,0.9929213623733585,0.9964543955311544
tworoom,spectral,4,2,0,161048,40070,119.44384221766025,120.68322766858648,0.9897302593337182,0.9948518780872447
tworoom,spectral,4,2,1,199275,49574,179.6741521318595,180.96402234642045,0.9928722284250969,0.9964297408373041
tworoom,spectral,4,2,2,201608,50797,190.79784385838298,192.16152119349167,0.992903483867951,0.9964454244302349
tworoom,spectral,4,2,3,151597,37494,110.90447717699355,112.05856960810893,0.9897009890885502,0.9948371671226152
tworoom,gmm,4,0,0,180515,44262,109.2182913631345,110.73978229395001,0.9862606653246181,0.9931065729943681
tworoom,gmm,4,0,1,155418,38810,140.36242181403776,142.25436833324684,0.9867002571423537,0.993327869911216
tworoom,gmm,4,0,2,190164,47976,191.70793019493922,194.02545042021706,0.9880555864178715,0.9940098522740464
tworoom,gmm,4,0,3,187431,46887,169.8047069315868,171.4466459608311,0.9904230320748333,0.9951999960183044
tworoom,gmm,4,1,0,212615,53197,174.55588691186898,175.81245411256006,0.9928527975618463,0.9964199905470816
tworoom,gmm,4,1,1,176868,43411,207.02965979649488,209.23198490591457,0.9894742426192151,0.9947231989951854
tworoom,gmm,4,1,2,153158,39077,147.8322115577485,149.85983357596388,0.9864698767519479,0.9932118992198734
tworoom,gmm,4,1,3,170887,42250,81.48524397526364,82.31722231028371,0.9898930222416393,0.99493367730801
tworoom,gmm,4,2,0,217215,54494,161.85687754095542,162.96005750218322,0.993230365905995,0.9966094349874454
tworoom,gmm,4,2,1,155753,37916,163.87382153517822,166.15232921365322,0.9862866341431477,0.9931196474459397
tworoom,gmm,4,2,2,183182,45966,166.25106962137664,167.89577537759723,0.9902040075009532,0.995089949452286
tworoom,gmm,4,2,3,157378,39559,120.33166777241277,123.15695236073877,0.9770594795164266,0.9884631907746624
tworoom,kmeanspp,4,0,0,180256,45441,162.71091421539424,165.80346105210592,0.9813481165164591,0.9906301613197829
tworoom,kmeanspp,4,0,1,156218,38515,132.68241501811085,136.80213295015696,0.9698855723722736,0.9848276866397865
tworoom,kmeanspp,4,0,2,175239,44581,135.29939039608576,137.38433470325327,0.9848240025933747,0.9923829918904166
tworoom,kmeanspp,4,0,3,201815,49398,175.62306094014292,178.989026433948,0.9811945706344897,0.9905526591930838
tworoom,kmeanspp,4,1,0,164688,41878,144.23717558472697,147.01101380718714,0.9811317659090617,0.9905209568247719
tworoom,kmeanspp,4,1,1,182374,45359,143.7744259180833,146.79286326779473,0.9794374380162822,0.9896653161631371
tworoom,kmeanspp,4,1,2,178367,44454,154.4154960375473,158.26081582160748,0.9757026414649939,0.9877766151640733
tworoom,kmeanspp,4,1,3,188099,46244,167.66827170965826,171.252684666528,0.9790694495455676,0.9894793830826227
tworoom,kmeanspp,4,2,0,164983,40953,143.85826815574404,147.47623962200993,0.9754674280037317,0.9876575459154512
tworoom,kmeanspp,4,2,1,178355,43711,162.60357329806135,166.2097754208886,0.9783033090942133,0.9890921641051522
tworoom,kmeanspp,4,2,2,187560,47518,151.98511668772892,154.44555651190515,0.9840692093722582,0.9920026256881874
tworoom,kmeanspp,4,2,3,182630,45753,152.91231021935704,155.7473015635825,0.9817974930174433,0.9908569488162473
pusht,spectral,4,0,0,394444,96408,1.8934907533379945,2.0004738645473945,0.9465211152690541,0.9728931674490545
pusht,spectral,4,0,1,594833,148341,1.9090955545019852,1.980845305233805,0.9637782160261369,0.9817220665881647
pusht,spectral,4,0,2,530596,133110,2.6910948319270473,2.812438945491734,0.956854489673741,0.9781893935602354
pusht,spectral,4,0,3,305514,77987,1.492787626903142,1.5970646628830294,0.934707067031559,0.966802496392908
pusht,spectral,4,1,0,380517,93844,1.8167882059157927,1.9206983915926334,0.9458997903410129,0.9725737968612012
pusht,spectral,4,1,1,573733,142846,1.9157565098684812,1.989752906728352,0.9628112633434776,0.9812294651830822
pusht,spectral,4,1,2,566627,142295,2.686881066842909,2.804792930162698,0.9579605816701238,0.9787546074834712
pusht,spectral,4,1,3,304510,76861,1.4876275188269352,1.5877234759240493,0.936956303402355,0.9679650321175631
pusht,spectral,4,2,0,503805,125378,2.134851733059651,2.220813787174579,0.961292543025729,0.9804552733428124
pusht,spectral,4,2,1,400197,97851,2.071792836362522,2.182035513032085,0.9494771391156813,0.9744111755905108
pusht,spectral,4,2,2,626969,157403,2.262753573575244,2.3638507493774,0.9572319970587048,0.9783823368493039
pusht,spectral,4,2,3,294416,75214,1.5111104413172443,1.6165014512897702,0.9348030217427663,0.9668521198936093
pusht,gmm,4,0,0,614054,155314,2.0338395876254647,2.1077152707170237,0.9649498752901158,0.9823186220825276
pusht,gmm,4,0,1,354642,88191,2.400466238698566,2.5760884544920293,0.9318260149463332,0.9653113564784852
pusht,gmm,4,0,2,540878,133465,1.7517526028929638,1.8208214636728763,0.9620671976039924,0.9808502421899036
pusht,gmm,4,0,3,315813,78876,2.2407078754682193,2.384183332829831,0.939821969482809,0.9694441549067223
pusht,gmm,4,1,0,430191,106588,1.9834007255833865,2.08186616897028,0.9527032789837802,0.9760652022194932
pusht,gmm,4,1,1,302967,75976,2.5833431327567045,2.7779253319987856,0.9299541290758616,0.964341292839761
pusht,gmm,4,1,2,599909,149066,1.6955681585321667,1.7646244181345119,0.9608663130280445,0.9802378859379209
pusht,gmm,4,1,3,492320,124216,2.22125322122871,2.331528771654645,0.9527024706850713,0.9760647881596136
pusht,gmm,4,2,0,430571,106028,1.7012601041909325,1.7857215254719274,0.9527017958420625,0.9760644424637456
pusht,gmm,4,2,1,549835,136609,2.058295343299283,2.1386864929899048,0.9624109704932796,0.9810254688300807
pusht,gmm,4,2,2,325916,82240,2.304299833426608,2.4486682877012216,0.9410420533480487,0.9700732206117478
pusht,gmm,4,2,3,519065,130969,2.217486603098779,2.3115203036710428,0.9593195437552834,0.979448591685793
pusht,kmeanspp,4,0,0,427373,106484,1.9654233739019389,2.062954033734087,0.9527228148386753,0.9760752096220225
pusht,kmeanspp,4,0,1,535219,134401,2.2077096274265253,2.2784320092370645,0.9689600648499401,0.9843576915176414
pusht,kmeanspp,4,0,2,390303,97448,1.980798929434547,2.076984151847642,0.953689958429615,0.9765705086831237
pusht,kmeanspp,4,0,3,472492,117513,2.1112683779761814,2.189742396371264,0.9641628994693047,0.9819179698270649
pusht,kmeanspp,4,1,0,393470,96292,2.109352278847564,2.2159251804225333,0.9519059115729495,0.9756566566025927
pusht,kmeanspp,4,1,1,554138,141524,2.0250555939449324,2.1030513445580907,0.9629130544934235,0.9812813329995753
pusht,kmeanspp,4,1,2,452952,113276,2.0772351851487243,2.166000460664948,0.9590188104166085,0.9792950578945084
pusht,kmeanspp,4,1,3,424827,104754,2.100553152410867,2.1884826690424064,0.9598216984418644,0.9797049037551381
pusht,kmeanspp,4,2,0,398649,99455,1.9627717672774894,2.056908080515023,0.9542340690236565,0.976849051298949
pusht,kmeanspp,4,2,1,504070,124957,2.2695155058047463,2.347679166966734,0.966705986805268,0.9832120762100454
pusht,kmeanspp,4,2,2,384703,95672,1.95403882740801,2.0444159496966288,0.9557931827414916,0.9776467576489433
pusht,kmeanspp,4,2,3,537965,135762,2.0779617640788857,2.1515165223109345,0.9658125989415857,0.982757650156734
reacher,spectral,4,0,0,395838,99546,13.374038877743587,13.452691935832808,0.9941533591593129,0.9970723941416254
reacher,spectral,4,0,1,377328,94101,13.154481857218919,13.245170621516209,0.9931530693798711,0.9965706544846036
reacher,spectral,4,0,2,400489,103154,13.765426169085243,13.845478082203947,0.99421819075922,0.9971049045908961
reacher,spectral,4,0,3,410395,99301,13.606523387267702,13.695395391098408,0.993510811386397,0.9967501248489498
reacher,spectral,4,1,0,399421,96999,13.424156264164454,13.521516845244854,0.9927995814230975,0.9963932865204871
reacher,spectral,4,1,1,400807,103366,13.692622483626652,13.773437433919646,0.9941325503759887,0.9970619591459644
reacher,spectral,4,1,2,404260,101507,13.494066647236284,13.563465895813222,0.9948833691100768,0.9974384036671522
reacher,spectral,4,1,3,379562,94230,13.296927713400308,13.389184940784059,0.9931095710611382,0.9965488302442275
reacher,spectral,4,2,0,395891,101800,13.62206285727666,13.708144428373986,0.9937204067591272,0.9968552586805806
reacher,spectral,4,2,1,384120,95514,13.226059225768546,13.30949276073418,0.9937312761300882,0.9968607104957483
reacher,spectral,4,2,2,400420,101143,13.598646659290086,13.67231657706352,0.9946117457595283,0.9973022339088228
reacher,spectral,4,2,3,403619,97645,13.468621888554168,13.560727799802,0.9932078932187417,0.9965981603528785
reacher,gmm,4,0,0,375920,92701,13.120901378906806,13.23316892399279,0.9915162010149787,0.9957490652845117
reacher,gmm,4,0,1,378000,97990,11.341173866194667,11.520867867673127,0.9844027374029113,0.9921707198879189
reacher,gmm,4,0,2,411861,99141,15.636031648925991,15.74468389855741,0.993099115210476,0.9965435842001472
reacher,gmm,4,0,3,418269,106270,13.58150807960957,13.711553917000217,0.9905156017926305,0.9952465030295914
reacher,gmm,4,1,0,431921,112175,14.326671763031376,14.398868446711262,0.9949859474064174,0.9974898232094488
reacher,gmm,4,1,1,373803,92008,14.162451152733366,14.316783174557477,0.9892202026151813,0.9945954969811502
reacher,gmm,4,1,2,391061,97664,12.164941221470974,12.282251738600205,0.9904487776650471,0.9952129308168414
reacher,gmm,4,1,3,387265,94255,13.049128824376618,13.174291950450025,0.990499441902141,0.9952383844597942
reacher,gmm,4,2,0,381781,90426,14.3474396710144,14.524166698056614,0.9878322088477639,0.9938974840735657
reacher,gmm,4,2,1,419776,104720,11.622418311757592,11.750699307313806,0.9890831181871559,0.9945265799299463
reacher,gmm,4,2,2,438478,111038,12.680707888360365,12.769534575483197,0.9930438586780308,0.996515859722278
