q,weakest_pair_bures,r_pair,r_b,r_Q,affine_reference_gain_normalized,decomposition_sum,decomposition_abs_error,Sc,min_region_fraction,max_region_fraction,task,method,num_clusters,partition_seed,transition_count,global_affine_residual_energy
0.3469936839295808,0.6939873678591616,0.07842557991176798,0.04175942180803064,0.08140023732011546,0.548578922969495,0.5485789229694948,1.1102230246251565e-16,1.8329698826903642,0.2184386788907672,0.2872166315371474,tworoom,spectral,4,0,891463,155.96276953568682
0.34833024429581533,0.6966604885916307,0.07676647390359181,0.038041127996347075,0.08193635681240273,0.545074203008157,0.5450742030081569,1.1102230246251565e-16,1.8316812879095599,0.21582948479073163,0.2818569026420614,tworoom,spectral,4,1,891463,155.96276953568682
0.3522294253824858,0.7044588507649716,0.07440201496433355,0.039599333864318534,0.08088294200301076,0.5471137162141487,0.5471137162141486,1.1102230246251565e-16,1.8345837645514356,0.21211312191307996,0.28313569940648126,tworoom,spectral,4,2,891463,155.96276953568682
0.3566107827153239,0.7132215654306479,0.05809631764913593,0.1479322371787723,0.12822060516849282,0.690859942711725,0.690859942711725,0.0,2.3130755122194846,0.21787555961380337,0.26713391357801725,tworoom,gmm,4,0,891463,155.96276953568682
0.3774216959881814,0.7548433919763629,0.050353981631451473,0.11928538413353817,0.09285881771130641,0.6399198794644775,0.6399198794644775,0.0,2.017726683843842,0.21563990877916414,0.2981750224069872,tworoom,gmm,4,1,891463,155.96276953568682
0.32189688594781857,0.6437937718956371,0.10652396050786148,0.09866344504447298,0.11403939315789681,0.6411236846580499,0.6411236846580498,1.1102230246251565e-16,2.5008361750923878,0.21724850049861857,0.3047899912839905,tworoom,gmm,4,2,891463,155.96276953568682
0.33970988662484225,0.6794197732496845,0.07550675062832139,0.36126757882454313,0.15988384796642213,0.9363680640441291,0.936368064044129,1.1102230246251565e-16,3.0467472001050906,0.2184420441454104,0.2817985715615791,tworoom,kmeanspp,4,0,891463,155.96276953568682
0.3307942043754085,0.661588408750817,0.06747831871629104,0.34703022732176286,0.1826822935801779,0.9279850439936405,0.9279850439936403,1.1102230246251565e-16,3.2658650908871243,0.23171573020977876,0.262874622951261,tworoom,kmeanspp,4,1,891463,155.96276953568682
0.3347796058413835,0.669559211682767,0.07084371943043564,0.4674823846541456,0.1579453505441561,1.0310510604701209,1.0310510604701209,0.0,2.767334112844608,0.23100902673470464,0.26369911033884746,tworoom,kmeanspp,4,2,891463,155.96276953568682
0.2588932503772418,0.5177865007544836,0.030904434129569183,0.05607694451395186,0.0003343252814476426,0.34620895430221044,0.3462089543022105,5.551115123125783e-17,0.1351388346902636,0.1681112801717317,0.3257773318201166,pusht,spectral,4,0,2281233,2.1070740263059697
0.26274156781854124,0.5254831356370825,0.02769116584541807,0.051705964313334324,0.00048016114386005023,0.3426188591211537,0.34261885912115375,5.551115123125783e-17,0.13427468740368542,0.1671775745835695,0.31411916275102103,pusht,spectral,4,1,2281233,2.1070740263059697
0.2797322878096796,0.5594645756193593,0.022216718296845687,0.0456546936403894,0.00020015620330261118,0.3478038559502173,0.3478038559502173,0.0,0.1364463562867099,0.16203079650346983,0.3438368636610114,pusht,spectral,4,2,2281233,2.1070740263059697
0.23586996778709338,0.47173993557418675,0.06307845350010449,0.07387192685560771,0.001001578359489128,0.3738219265022947,0.37382192650229473,5.551115123125783e-17,0.14232784892530237,0.17301564548645404,0.3372597187573562,pusht,gmm,4,0,2281233,2.1070740263059697
0.26352897535584724,0.5270579507116945,0.05802743235313777,0.05637987504281011,0.0017239566984359799,0.3796602394502311,0.37966023945023114,5.551115123125783e-17,0.1582501156447122,0.1661132378849508,0.3283202548797076,pusht,gmm,4,1,2281233,2.1070740263059697
0.2067196471096195,0.413439294219239,0.0757463361380086,0.05887959396562433,0.0012248775229828988,0.34257045473623526,0.34257045473623526,0.0,0.13312387598272657,0.17891903194456682,0.3009092012959658,pusht,gmm,4,2,2281233,2.1070740263059697
0.14869663896658597,0.29739327793317194,0.07920490429427202,0.04766713464488933,0.0006057530906839,0.27617443099643124,0.2761744309964312,5.551115123125783e-17,0.11768436322130306,0.21381025085995162,0.2935342422277777,pusht,kmeanspp,4,0,2281233,2.1070740263059697
0.22488103093483122,0.44976206186966244,0.029439919239170463,0.04388240751684403,0.0001359681378081025,0.2983393258286538,0.2983393258286538,0.0,0.12429793142427843,0.21469179167581742,0.3049499985314959,pusht,kmeanspp,4,1,2281233,2.1070740263059697
0.1563058360796839,0.3126116721593678,0.06403283702832206,0.04968052766974891,0.00018684402338923082,0.27020604480114413,0.27020604480114413,0.0,0.11533958475824409,0.21057691169643786,0.29533458441114957,pusht,kmeanspp,4,2,2281233,2.1070740263059697
0.1909188841045766,0.3818377682091532,0.1296497367481227,0.006427564294364464,0.30304659826772606,0.6300427834147899,0.6300427834147899,0.0,0.12468492969185452,0.2380771779136147,0.25740246203321765,reacher,spectral,4,0,1980152,13.564838977976263
0.1847105341763031,0.3694210683526062,0.14200520505818576,0.006715523601454936,0.29702129192950977,0.6304525547654536,0.6304525547654536,0.0,0.12588261947543838,0.23927052064689983,0.2554182709206162,reacher,spectral,4,1,1980152,13.564838977976263
0.1976467533040972,0.3952935066081944,0.11832963111939768,0.006530217153575247,0.30757173640893404,0.6300783379860042,0.6300783379860042,0.0,0.12438344043256275,0.24222079921137368,0.25329520158048474,reacher,spectral,4,2,1980152,13.564838977976263
0.23721002191753252,0.47442004383506503,0.1227929125114229,0.010067284803944988,0.278334610957696,0.6484048301905965,0.6484048301905965,0.0,0.1920655730271641,0.2366591049575992,0.26489835123768274,reacher,gmm,4,0,1980152,13.564838977976263
0.1891191518824245,0.378238303764849,0.1676280231195263,0.009218350853126037,0.2761289878235369,0.6420945136786137,0.6420945136786138,1.1102230246251565e-16,0.17098257042561182,0.23524002197811078,0.27477486576788046,reacher,gmm,4,1,1980152,13.564838977976263
0.302515085135571,0.605030170271142,0.05508433287231959,0.011362609346526999,0.2805562525789822,0.6495182799333998,0.6495182799333998,0.0,0.22560952309839427,0.21914125784283225,0.27751202937956276,reacher,gmm,4,2,1980152,13.564838977976263
0.28827872498370943,0.5765574499674189,0.068017200229637,0.01266654073514227,0.28603709234062336,0.654999558289112,0.654999558289112,0.0,0.21969859895618093,0.24322829762563683,0.25721358764377683,reacher,kmeanspp,4,0,1980152,13.564838977976263
0.3131292006622333,0.6262584013244666,0.04109978850115276,0.011986361605351504,0.29028106665218756,0.6564964174209251,0.6564964174209251,0.0,0.25336215958863717,0.24270712551359694,0.26243086389327686,reacher,kmeanspp,4,1,1980152,13.564838977976263
