task,partition_seed,train_seed,eval_seed,regional_percent,global_percent,delta_pp,regional_source,regional_sha256,global_source,global_sha256
tworoom,1,42,4,56.00000000000001,60.0,-3.999999999999993,experiments/tworoom/matrix_k4_long/eval/kmeanspp/partition1_train42/eval4/results.json,2891c03001e650edd3156b60c717aa60c94421965493b53012b0cc7522d3f6ea,experiments/tworoom/matrix_k4_long/eval/global/train42/eval4/results.json,2deab296b0e381ff6b8de8a1c04c96db9497df4d412096e1f0ed290adf28f23c
tworoom,1,625,0,64.0,54.0,10.0,experiments/tworoom/matrix_k4_long/eval/kmeanspp/partition1_train625/eval0/results.json,72fbffbeb3938e62a763fcd8d0c8077c5ac7003781109a9c460882fa866dcce0,experiments/tworoom/matrix_k4_long/eval/global/train625/eval0/results.json,9e16f1fba9160a95db4d34c2be2bc687b4c7ce95f4ec5f827fb7cc2ad7a7f18f
tworoom,1,625,1,60.0,62.0,-2.0,experiments/tworoom/matrix_k4_long/eval/kmeanspp/partition1_train625/eval1/results.json,a5107627164ea069f477a2766747296c92cc22642b71f05a7186d129c0c1f570,experiments/tworoom/matrix_k4_long/eval/global/train625/eval1/results.json,7114317e6925af8a1fb418a0841b7f236c5cbe4898e52720371f4bc05aa9a9c0
tworoom,1,625,2,56.00000000000001,54.0,2.000000000000007,experiments/tworoom/matrix_k4_long/eval/kmeanspp/partition1_train625/eval2/results.json,d0225f8448179cebb7294d2be74001ad944e087abac1e1318fb26d7a0b991618,experiments/tworoom/matrix_k4_long/eval/global/train625/eval2/results.json,9f697bba7add1cc9fcbfec670ba2e1538e1a59cf48b532dafea9d368e231f9e3
tworoom,1,625,3,57.99999999999999,54.0,3.999999999999993,experiments/tworoom/matrix_k4_long/eval/kmeanspp/partition1_train625/eval3/results.json,8303eb6b1c45815752210d1a907a548665d5c262b3109023a2c8009b8e2db8ef,experiments/tworoom/matrix_k4_long/eval/global/train625/eval3/results.json,059574563bb638f77c2b10112e0c988a89ed414dfafc19d1e4e73055650586b0
tworoom,1,625,4,60.0,60.0,0.0,experiments/tworoom/matrix_k4_long/eval/kmeanspp/partition1_train625/eval4/results.json,373020a28bc16e30e82f1c03002b29e0ac573a7e417b72052b4558ffb5a76643,experiments/tworoom/matrix_k4_long/eval/global/train625/eval4/results.json,2660e040f47cbdf4e69f8a965c47be84a497b1470e5c2f6aa348b09f13758b97
tworoom,2,0,0,57.99999999999999,57.99999999999999,0.0,experiments/tworoom/matrix_k4_long/eval/kmeanspp/partition2_train0/eval0/results.json,7bf57ffc0ae66045d0733dcdc542254911a28ec0aa5398d6f3c83e7c812e9cc7,experiments/tworoom/matrix_k4_long/eval/global/train0/eval0/results.json,ea803440b197179b802c291a2d66af8ca353c9da767de9941ce527bda05c3b79
tworoom,2,0,1,70.0,66.0,4.0,experiments/tworoom/matrix_k4_long/eval/kmeanspp/partition2_train0/eval1/results.json,7fb000fbd8927c08c432dbb5159bbf5d54f0d6dff460be1672e2f900a15993d2,experiments/tworoom/matrix_k4_long/eval/global/train0/eval1/results.json,534e4829fed4bcf9283a110c38a6bb1513581ae50b9b088f1b8c362c380ddc98
tworoom,2,0,2,62.0,56.00000000000001,5.999999999999993,experiments/tworoom/matrix_k4_long/eval/kmeanspp/partition2_train0/eval2/results.json,637655d4264a2685539bddc5a8e8463ed676030fa94aa7fd0c14851297db9434,experiments/tworoom/matrix_k4_long/eval/global/train0/eval2/results.json,64d81eb05b6a16a8041f44be8f067578d1fe37da823094e1eab3c5792162f7db
tworoom,2,0,3,56.00000000000001,52.0,4.000000000000007,experiments/tworoom/matrix_k4_long/eval/kmeanspp/partition2_train0/eval3/results.json,c5f6cec7897de20fef679db38ffb5cda366d1b12af7ff0f209f1da27ec83243c,experiments/tworoom/matrix_k4_long/eval/global/train0/eval3/results.json,4039c7152019ddc151d3123008b71f10db2d66e2db606cf72acf4eb012b4cd02
tworoom,2,0,4,56.00000000000001,64.0,-7.999999999999993,experiments/tworoom/matrix_k4_long/eval/kmeanspp/partition2_train0/eval4/results.json,a5063fefb0415a57ecfbbce61def9cd49d62470f78339ac9b50727fba4ea8b58,experiments/tworoom/matrix_k4_long/eval/global/train0/eval4/results.json,6c62e6f34fb5a37b36ba2ec87097315f14834b273f8c214bb35f46c0bf54a692
tworoom,2,42,0,60.0,57.99999999999999,2.000000000000007,experiments/tworoom/matrix_k4_long/eval/kmeanspp/partition2_train42/eval0/results.json,5dc79bef5b0ebb102467859410678cddd4f34832e695f97050de42f2af20f21f,experiments/tworoom/matrix_k4_long/eval/global/train42/eval0/results.json,43c3e0f66b6fb59d055eb4c0b182e8de86bb2ff5fa9f854b3b5231136cfc17d3
tworoom,2,42,1,66.0,62.0,4.0,experiments/tworoom/matrix_k4_long/eval/kmeanspp/partition2_train42/eval1/results.json,6ed80609dece4d4a3045dfc7ed9a76ebfe1cf2cd6fea8b03fef4837b0197ec93,experiments/tworoom/matrix_k4_long/eval/global/train42/eval1/results.json,ee03385fcb5a37c6c1fc861b77cd0bbb72178b719e7cd176b721532bc09e15a1
tworoom,2,42,2,56.00000000000001,57.99999999999999,-1.9999999999999858,experiments/tworoom/matrix_k4_long/eval/kmeanspp/partition2_train42/eval2/results.json,33f8628c67f8df8efa51711a02155b069cb47770e6608e85c14d1ff94db84feb,experiments/tworoom/matrix_k4_long/eval/global/train42/eval2/results.json,e229e18106054764df45e4e8ff2135159d38af3891e8fe6100ff4d379808de37
tworoom,2,42,3,52.0,54.0,-2.0,experiments/tworoom/matrix_k4_long/eval/kmeanspp/partition2_train42/eval3/results.json,d9ef1f04259c49fada1454b6dda65e492e5bc6edb36d1a7aadad865518291673,experiments/tworoom/matrix_k4_long/eval/global/train42/eval3/results.json,8cb7872010fe354e24572a4bc661c66bc7fd618b7cd84b348173de7ab7479244
tworoom,2,42,4,54.0,60.0,-6.0,experiments/tworoom/matrix_k4_long/eval/kmeanspp/partition2_train42/eval4/results.json,07cdc535dd538f4861cb4f0b2a0bce9b248e4b89547288908b060cff529093e2,experiments/tworoom/matrix_k4_long/eval/global/train42/eval4/results.json,2deab296b0e381ff6b8de8a1c04c96db9497df4d412096e1f0ed290adf28f23c
tworoom,2,625,0,54.0,54.0,0.0,experiments/tworoom/matrix_k4_long/eval/kmeanspp/partition2_train625/eval0/results.json,6abeb9cd6016558925fc4a5c181a74173af756ae7ad99bbcaf134d505920de2f,experiments/tworoom/matrix_k4_long/eval/global/train625/eval0/results.json,9e16f1fba9160a95db4d34c2be2bc687b4c7ce95f4ec5f827fb7cc2ad7a7f18f
tworoom,2,625,1,64.0,62.0,2.0,experiments/tworoom/matrix_k4_long/eval/kmeanspp/partition2_train625/eval1/results.json,c2159d6d7e1beed14b05e1d388422f1e07e2b7137d9d3e866f74171f0222c177,experiments/tworoom/matrix_k4_long/eval/global/train625/eval1/results.json,7114317e6925af8a1fb418a0841b7f236c5cbe4898e52720371f4bc05aa9a9c0
tworoom,2,625,2,57.99999999999999,54.0,3.999999999999993,experiments/tworoom/matrix_k4_long/eval/kmeanspp/partition2_train625/eval2/results.json,9308b2dee1a2ee49bca07dac696b761dd8fae874e3650209488456049ef84a11,experiments/tworoom/matrix_k4_long/eval/global/train625/eval2/results.json,9f697bba7add1cc9fcbfec670ba2e1538e1a59cf48b532dafea9d368e231f9e3
tworoom,2,625,3,57.99999999999999,54.0,3.999999999999993,experiments/tworoom/matrix_k4_long/eval/kmeanspp/partition2_train625/eval3/results.json,d4ad6f8d3bd774030aeb63ccdb484bbca9d641b6025c96d2d4a4ccd80f10c9cc,experiments/tworoom/matrix_k4_long/eval/global/train625/eval3/results.json,059574563bb638f77c2b10112e0c988a89ed414dfafc19d1e4e73055650586b0
tworoom,2,625,4,60.0,60.0,0.0,experiments/tworoom/matrix_k4_long/eval/kmeanspp/partition2_train625/eval4/results.json,cbb9769a4306caf77d462fd00e30d783059bae5338240560b5180ee254d16e22,experiments/tworoom/matrix_k4_long/eval/global/train625/eval4/results.json,2660e040f47cbdf4e69f8a965c47be84a497b1470e5c2f6aa348b09f13758b97
pusht,0,0,0,30.0,34.0,-4.0,experiments/pusht/matrix_k4_long/eval/kmeanspp/partition0_train0/eval0/results.json,43dd9aebd399b7795ae535e83ff14dcf433d595b4dd9410564eaa71e80ddf0d3,experiments/pusht/matrix_k4_long/eval/global/train0/eval0/results.json,2b1bb1c76ea6f76b589ed445e1a6a495d22e13003d18e518d272f05b24cc4c85
pusht,0,0,1,32.0,30.0,2.0,experiments/pusht/matrix_k4_long/eval/kmeanspp/partition0_train0/eval1/results.json,9a91687a48ff202e1272997c350cb75d05d98c89166791e36124663fdd5169ff,experiments/pusht/matrix_k4_long/eval/global/train0/eval1/results.json,d5c2db8b30696a8aeb8af6d023a9906412a3e51945ee645e54bcbaee4fe54f42
pusht,0,0,2,42.0,46.0,-4.0,experiments/pusht/matrix_k4_long/eval/kmeanspp/partition0_train0/eval2/results.json,fc056f7418cd25712a4a0dab0a6a6251c098f83285eca8d1d667072b6e7c37b7,experiments/pusht/matrix_k4_long/eval/global/train0/eval2/results.json,4ad29404dd365e6f18e07d50e8c39d40c84ae0cce049ef9b270feca069df71ee
pusht,0,0,3,42.0,42.0,0.0,experiments/pusht/matrix_k4_long/eval/kmeanspp/partition0_train0/eval3/results.json,3fa7d172869f9e51030cb1582c17d1fcacdd1fb5d00bba39df8b465b72691eef,experiments/pusht/matrix_k4_long/eval/global/train0/eval3/results.json,0daaa535179f379e7516bb945e14f048436d6c274e4814e9abcb43ecf2c66d2a
pusht,0,0,4,46.0,50.0,-4.0,experiments/pusht/matrix_k4_long/eval/kmeanspp/partition0_train0/eval4/results.json,45426f95216b286441b3d2297c3aeeb700b04698a016a511086526e74ecbe91f,experiments/pusht/matrix_k4_long/eval/global/train0/eval4/results.json,a3735fe937a454484b5cb121b995277036874b1a3f3938891001395b9f0cc44f
pusht,0,42,0,36.0,36.0,0.0,experiments/pusht/matrix_k4_long/eval/kmeanspp/partition0_train42/eval0/results.json,9ce5b74f9e128aae4ac362fc6155bfd83fd2ff5785ae90f7b1b56bd52ed28db8,experiments/pusht/matrix_k4_long/eval/global/train42/eval0/results.json,fb3110ba63fce26d73af27144efc08cba96675a37d29990a76bcdd7283934b69
pusht,0,42,1,26.0,30.0,-4.0,experiments/pusht/matrix_k4_long/eval/kmeanspp/partition0_train42/eval1/results.json,38efae6eddee6f40e46acb37b49e6762e9b77421e6c7e8a5af39bdf6eb6c1ece,experiments/pusht/matrix_k4_long/eval/global/train42/eval1/results.json,081da2feab900a289c0c702ca28ba2280d0d8accb539e78e19eadd967085b6d9
pusht,0,42,2,40.0,46.0,-6.0,experiments/pusht/matrix_k4_long/eval/kmeanspp/partition0_train42/eval2/results.json,24049cd16bd9f93bd40fd2715419e4e31539d0fb3f958f6873da5d00b3660345,experiments/pusht/matrix_k4_long/eval/global/train42/eval2/results.json,d1d039d9a89601eff9b53c9d0dec84597193c81810f2055f972eecfb810c9dc5
