method,mean_percent,sd_across_finetuning_seeds_percent,num_finetuning_seeds,num_partition_seeds,num_eval_seeds,eval_seed_sd_percent
Official baseline,50.4,,0,0,5,8.294576541331088
Joint-Continue 3ep,51.6,0.8000000000000007,3,0,5,7.971377367987113
Global-FT50,48.13333333333333,0.9237604307034021,3,0,5,8.86297810853558
Random-Voronoi,50.800000000000004,0.8110350040397638,3,3,5,7.548630218908473
K-means++,49.955555555555556,0.5388602512436488,3,3,5,7.2424115633209665
Spectral,49.68888888888889,0.3355481971231432,3,3,5,7.235713893981407
