method,mean_percent,sd_across_finetuning_seeds_percent,num_finetuning_seeds,num_partition_seeds,num_eval_seeds,eval_seed_sd_percent
Official baseline,37.2,,0,0,5,9.338094023943002
Joint-Continue 3ep,36.53333333333333,0.461880215351699,3,0,5,7.30818197703942
Global-FT50,40.4,0.3999999999999986,3,0,5,8.356349168660405
Random-Voronoi,39.6,0.3527668414752775,3,3,5,8.230762695246082
K-means++,39.422222222222224,0.7343427396381467,3,3,5,8.745099637898226
Spectral,38.577777777777776,1.1495570805668935,3,3,5,7.834912800143891
