outer_seed,inner_restart,inner_seed,objective_final,niter,converged,cluster_frac_min,cluster_frac_mid,cluster_frac_max,fit_sec
0,0,0,0.1533607840538025,141,1,0.31763624751710134,0.3335817606018535,0.3487819918810451,0.6421984070912004
0,1,1,0.15608099102973938,432,1,0.3123994886355517,0.3303752900608207,0.3572252213036276,1.8957923469133675
0,2,2,0.15734970569610596,122,1,0.2976862187720878,0.301402734678578,0.40091104654933424,0.5386078897863626
0,3,3,0.15631429851055145,175,1,0.326863231994794,0.32744142997373926,0.34569533803146674,0.7685100487433374
0,4,4,0.15791292488574982,403,1,0.3285813373961085,0.33039727477484904,0.34102138782904245,1.7717362870462239
0,5,5,0.15586411952972412,203,1,0.32492418021749475,0.3323242349594327,0.3427515848230725,0.8913407251238823
0,6,6,0.15686824917793274,111,1,0.31787917860711445,0.32769645265646796,0.3544243687364176,0.48850897001102567
0,7,7,0.15502595901489258,168,1,0.32720069735512897,0.33547244600829046,0.3373268566365806,0.7378699132241309
0,8,8,0.15792186558246613,77,1,0.3117179625006733,0.32990151947351004,0.35838051802581666,0.3387640519067645
0,9,9,0.15707062184810638,298,1,0.31627099677594167,0.33300246338720685,0.3507265398368514,1.3090691571123898
0,10,10,0.15542247891426086,173,1,0.3211966719539904,0.3257859810074056,0.35301734703860405,0.7599503388628364
0,11,11,0.15323901176452637,297,1,0.32307746423911454,0.3367255747079056,0.34019696105297986,1.3048641411587596
0,12,12,0.1553000956773758,219,1,0.31830348358786137,0.33920654968600333,0.3424899667261353,0.9614978623576462
0,13,13,0.15671145915985107,124,1,0.2992339426396826,0.3375192228843285,0.3632468344759888,0.5449589369818568
0,14,14,0.15266332030296326,88,1,0.3182716057525203,0.3372729940872112,0.34445540016026854,0.3870947980321944
0,15,15,0.15803998708724976,151,1,0.308808285599023,0.31595331765823226,0.3752383967427448,0.6639162530191243
0,16,16,0.15605045855045319,168,1,0.30767167588375804,0.3156191500050015,0.37670917411124044,0.7390607921406627
0,17,17,0.15575677156448364,141,1,0.33264741025564926,0.3330980968932301,0.33425449285112063,0.6195319513790309
0,18,18,0.1528359353542328,90,1,0.32488131002513954,0.3328320818534873,0.3422866081213732,0.3959259898401797
0,19,19,0.15794630348682404,235,1,0.31234232837907805,0.3138768614182559,0.37378081020266607,1.0339957517571747
0,20,20,0.15554367005825043,250,1,0.32716442257698225,0.3284912000685923,0.34434437735442547,1.0999304838478565
0,21,21,0.15633364021778107,239,1,0.31985340592685907,0.33262652477732235,0.34752006929581863,1.0543753379024565
0,22,22,0.15755237638950348,95,1,0.3214121221514681,0.33475354585956385,0.34383433198896807,0.41997822606936097
0,23,23,0.15470752120018005,188,1,0.31106831420113595,0.34105876184289063,0.3478729239559734,0.829292019829154
0,24,24,0.15709218382835388,75,1,0.3047707928677191,0.32744582691654495,0.367783380215736,0.3317372342571616
0,25,25,0.15606267750263214,135,1,0.3175329193611682,0.33609351417959094,0.3463735664592409,0.5958418468944728
0,26,26,0.1565856784582138,120,1,0.3058975094616713,0.3333707073471815,0.3607317831911472,0.5320761469192803
0,27,27,0.15578556060791016,107,1,0.3241690052906214,0.32668845351826875,0.3491425411911098,0.4721365589648485
0,28,28,0.15433162450790405,94,1,0.320633863274865,0.3328661581602312,0.34649997856490383,0.4153345380909741
0,29,29,0.15446239709854126,123,1,0.31430006716330133,0.32207056433661674,0.3636293685000819,0.5427294792607427
0,30,30,0.1541484296321869,239,1,0.3190553608076305,0.3216858318411209,0.35925880735124865,1.0543921017087996
