init,inner_restart,pairwise_ari_mean,pairwise_ari_std,pairwise_ari_median,pairwise_nmi_mean,pairwise_label_agreement_mean,pairwise_centroid_cosine_mean,consensus_mean_q,consensus_q_eq_1_frac,consensus_q_ge_0p9_frac,consensus_q_lt_0p7_frac,objective_mean,objective_std,objective_gap_to_global_max,global_objective_max,cluster_frac_min_mean,cluster_frac_mid_mean,cluster_frac_max_mean,total_cluster_sec,medoid_outer_seed,note
random_sample,1,0.22608446483789002,0.10707960919648102,0.20666239335018532,0.2122428996107451,0.5995812432668198,0.5239129228484736,0.6891440031745926,0.031108370350095577,0.12810712711451727,0.4694055223403168,,,,0.15904895961284637,,,,,9,from latent_preprocess_convergence_v1 zscore_l2 random init
kmeanspp,1,0.16812110836657154,0.09217474376056127,0.1554781421755833,0.16176720852718313,0.5484578561999526,0.43433257676170844,0.6580725671440647,0.012333424569896551,0.10833847226023746,0.5748606993557379,0.1558636024594307,0.0016408673711768326,0.003185357153415669,0.15904895961284637,0.3145515173300005,0.3307899217673951,0.3546585609026044,0.0,15,
kmeanspp,5,0.2534645324063992,0.1179249129485722,0.2275305992587962,0.24050592735135842,0.6199821784965545,0.5572702818305084,0.7223657640842324,0.09000541923200799,0.20989685871413605,0.4355886352219302,0.15717632248997687,0.0008528102391454701,0.0018726371228695027,0.15904895961284637,0.31397513308996255,0.33140945100871355,0.35461541590132384,0.0,4,
kmeanspp,10,0.3482398539308842,0.14945933230742725,0.33866813676103746,0.31668242440441774,0.6907186612095978,0.6714212847742855,0.7840648197308414,0.09635460464339145,0.41383476069089165,0.2904389577926468,0.15786540880799294,0.0006293243717182711,0.0011835508048534393,0.15904895961284637,0.31342826332850776,0.3302752596119917,0.3562964770595005,0.0,7,
kmeanspp,20,0.3846146156107648,0.13664365838979653,0.37512114618723613,0.3443735933289322,0.7246091450509198,0.7243652789445038,0.8122695589756445,0.1981394336517819,0.45804931830897977,0.2431751203388284,0.1581595204770565,0.00043005419426136337,0.0008894391357898712,0.15904895961284637,0.31544860358592675,0.3307074241280038,0.35384397228606956,0.0,19,
kmeanspp,50,0.4834517853506825,0.14897437971329056,0.4881528949109841,0.4298676198207611,0.7823466333332117,0.8002559445929108,0.8557283370872233,0.26685925276155487,0.586514796262159,0.17234476868233517,0.15843903124332429,0.0003087110654797937,0.0006099283695220892,0.15904895961284637,0.3180220242865136,0.3307297935745276,0.35124818213895886,0.0,19,
