preprocess,seed_a,seed_b,ari,nmi,label_agreement,centroid_cosine,restart_budget
zscore_kmeanspp_R1,0,1,0.1937858359126667,0.18122468264731115,0.5820914717996577,0.4803035358587901,1
zscore_kmeanspp_R1,0,2,0.11529072932229448,0.1125504546804236,0.5087911375220809,0.36590084433555603,1
zscore_kmeanspp_R1,0,3,0.3023135388107278,0.2857150496202452,0.6495284828458773,0.5984924038251241,1
zscore_kmeanspp_R1,0,4,0.16981341180918558,0.1852469678713246,0.5085756873246032,0.3444340651233991,1
zscore_kmeanspp_R1,0,5,0.15682004722843748,0.15392617987669746,0.5020429295510831,0.3505029579003652,1
zscore_kmeanspp_R1,0,6,0.051792471732022345,0.05056380951135585,0.4316379821110382,0.22983782241741815,1
zscore_kmeanspp_R1,0,7,0.12167537314293152,0.12505900331075767,0.5047635379120897,0.3254195358604193,1
zscore_kmeanspp_R1,0,8,0.1262739536631292,0.1381576310167276,0.506649826375721,0.3666488130887349,1
zscore_kmeanspp_R1,0,9,0.17121069898791721,0.17402272728122234,0.57493214967633,0.4924604892730713,1
zscore_kmeanspp_R1,0,10,0.15121908197208236,0.16400466286847243,0.5062035366809458,0.3330469826857249,1
zscore_kmeanspp_R1,0,11,0.1548629299440255,0.17282848206811485,0.523581353884644,0.4019971589247386,1
zscore_kmeanspp_R1,0,12,0.08799549150472252,0.08739822175732627,0.46826341644654473,0.2858389013757308,1
zscore_kmeanspp_R1,0,13,0.2063644040239643,0.18483617707582148,0.5956274602269043,0.5227431654930115,1
zscore_kmeanspp_R1,0,14,0.08410729442512978,0.08193952170942378,0.45944644688548053,0.25109175344308216,1
zscore_kmeanspp_R1,0,15,0.10989403732044076,0.11428875000677449,0.4754645095265262,0.3013680465519428,1
zscore_kmeanspp_R1,0,16,0.14741450653819543,0.15889742673205576,0.4729527559487888,0.25313910841941833,1
zscore_kmeanspp_R1,0,17,0.10896299578975145,0.1170692036167207,0.44726801454948373,0.26557662586371106,1
zscore_kmeanspp_R1,0,18,0.21701018769624314,0.22186021915361495,0.5468367843838179,0.42057005564371747,1
zscore_kmeanspp_R1,0,19,0.023964097626617446,0.022979214339341174,0.41523518697449663,0.17129500210285187,1
zscore_kmeanspp_R1,1,2,0.1264727192571598,0.1158873432295468,0.5544017244809684,0.4334217409292857,1
zscore_kmeanspp_R1,1,3,0.2172667681830632,0.22277046775590603,0.5871523529689807,0.50775246322155,1
zscore_kmeanspp_R1,1,4,0.22198426633468515,0.2262805180550899,0.5681003997920246,0.4928048551082611,1
zscore_kmeanspp_R1,1,5,0.22223028660753782,0.20398092988770145,0.618481669695061,0.5793802539507548,1
zscore_kmeanspp_R1,1,6,0.1975519791162056,0.1847311125882577,0.5980095039918745,0.5012817879517873,1
zscore_kmeanspp_R1,1,7,0.19441815675745494,0.21298883076890499,0.5687324603203393,0.5015830099582672,1
zscore_kmeanspp_R1,1,8,0.264003862623022,0.23561363500661073,0.6649100880158026,0.6256023446718851,1
zscore_kmeanspp_R1,1,9,0.22731530073612607,0.20298483332626208,0.6415073599326389,0.6085611581802368,1
zscore_kmeanspp_R1,1,10,0.23005941423846002,0.23568607091098742,0.5737482728259041,0.48064948121706647,1
zscore_kmeanspp_R1,1,11,0.1698166410295141,0.16899338186125085,0.565095089384351,0.47871001561482746,1
zscore_kmeanspp_R1,1,12,0.0474408094937192,0.04525737871469624,0.4179612915140103,0.21782513645788035,1
zscore_kmeanspp_R1,1,13,0.22629223958034625,0.20910638548579302,0.6398277277808739,0.6052296360333761,1
zscore_kmeanspp_R1,1,14,0.14839747534991782,0.16420018551553997,0.49488800437056113,0.38037654757499695,1
zscore_kmeanspp_R1,1,15,0.2269681912331041,0.25170766221941554,0.5882021230638337,0.5284772713979086,1
zscore_kmeanspp_R1,1,16,0.29021867047310834,0.29055957751377387,0.6545355014658308,0.6261134843031565,1
zscore_kmeanspp_R1,1,17,0.1956506187409295,0.19624567954374617,0.5805261601608401,0.5060425947109858,1
zscore_kmeanspp_R1,1,18,0.26672742747084627,0.2537426060925967,0.6431869920844037,0.5921713908513387,1
zscore_kmeanspp_R1,1,19,0.08316316217309705,0.08942628302605571,0.4532588491222053,0.2401002993186315,1
zscore_kmeanspp_R1,2,3,0.13797915070358346,0.1411798032259478,0.47911397205523,0.2528272271156311,1
zscore_kmeanspp_R1,2,4,0.09517168117240614,0.09827820983490977,0.44665683949949603,0.2451703231781721,1
zscore_kmeanspp_R1,2,5,0.04367355588138995,0.04103194963831073,0.41797668081383016,0.196231539050738,1
zscore_kmeanspp_R1,2,6,0.08115246879884054,0.08035943512237341,0.4681249127481662,0.2475203461945057,1
zscore_kmeanspp_R1,2,7,0.031034844944487373,0.02725494349815439,0.4431458806691707,0.25069915254910785,1
zscore_kmeanspp_R1,2,8,0.14068665773788994,0.13701222551277326,0.5475062189259807,0.4188636740048726,1
zscore_kmeanspp_R1,2,9,0.15150208056023462,0.149736857743562,0.5395972180542868,0.4158885180950165,1
zscore_kmeanspp_R1,2,10,0.12480000575286357,0.13194103361181977,0.513889392705252,0.3786041736602783,1
zscore_kmeanspp_R1,2,11,0.2354603249895122,0.2081859911365313,0.6498373680779754,0.6130371689796448,1
zscore_kmeanspp_R1,2,12,0.026952652756244644,0.02585551666568666,0.40651714862655997,0.13082495145499706,1
zscore_kmeanspp_R1,2,13,0.10094758109998005,0.10965307675993617,0.4670410663465692,0.2640039101243019,1
zscore_kmeanspp_R1,2,14,0.016651049758141908,0.014388473511853395,0.399480940901791,0.1081927294532458,1
zscore_kmeanspp_R1,2,15,0.029751204990620603,0.02633918592638124,0.44551473360572397,0.25316183765729267,1
