split,n,one_step_mse,one_step_mse_std,rollout_h1_mse,rollout_h1_mse_std,rollout_h5_mse,rollout_h5_mse_std,jacobian_samples,rule_drift,rule_diff_fro,reference_jacobian_fro,mean_jacobian_fro,mean_within_jacobian_std,reference_within_jacobian_std
common,83,0.15081875026226044,0.10740900784730911,0.15081875026226044,0.10740900784730911,0.9347270131111145,0.4899713397026062,8,0.906771183013916,4.7663893699646,5.256441116333008,5.263874053955078,0.0,0.0
doorway_corridor,33,0.14131473004817963,0.10984469205141068,0.14131473004817963,0.10984469205141068,0.9655882120132446,0.5365723371505737,8,1.183803677558899,6.222594261169434,5.256441116333008,2.0392262935638428,0.0,0.0
goal_other_side,380,0.1207655668258667,0.08391425758600235,0.1207655668258667,0.08391425758600235,0.9621112942695618,0.4893171787261963,8,1.1580301523208618,6.0871171951293945,5.256441116333008,2.507664203643799,0.0,0.0
iid_nonoverlap,83,0.15081875026226044,0.10740900784730911,0.15081875026226044,0.10740900784730911,0.9347270131111145,0.4899713397026062,8,0.8397567272186279,4.4141316413879395,5.256441116333008,2.482062578201294,0.0,0.0
left_room,156,0.11121116578578949,0.07169600576162338,0.11121116578578949,0.07169600576162338,0.9435468912124634,0.5293060541152954,8,1.0371425151824951,5.451678276062012,5.256441116333008,2.0126705169677734,0.0,0.0
near_wall,147,0.10073810815811157,0.07466113567352295,0.10073810815811157,0.07466113567352295,0.8336967825889587,0.5070980787277222,8,1.4928172826766968,7.8469061851501465,5.256441116333008,3.563154935836792,0.0,0.0
reference,82,0.12675152719020844,0.06829195469617844,0.12675152719020844,0.06829195469617844,0.9132583141326904,0.5569490790367126,8,0.0,0.0,5.256441116333008,5.256441116333008,0.0,0.0
right_room,156,0.11514675617218018,0.08509491384029388,0.11514675617218018,0.08509491384029388,0.9338459372520447,0.4759669005870819,8,1.1265301704406738,5.921539783477783,5.256441116333008,1.4830185174942017,0.0,0.0
