task,num_clusters,partition_seed,transition_count,action_dim,minimum_pairwise_response,mean_pairwise_response,pairwise_uniformity_min_over_mean
tworoom,4,0,891463,2,0.01549397607424733,0.017133231065428665,0.9043230675567661
tworoom,4,1,891463,2,0.015084260179552254,0.016987425488058434,0.88796623067786
tworoom,4,2,891463,2,0.015217266166793825,0.01707246450002567,0.8913338883657334
pusht,4,0,2281233,2,0.052978715408830195,0.06080296230495061,0.8713179983422722
pusht,4,1,2281233,2,0.05242887259640987,0.05947245060375445,0.8815657008272006
pusht,4,2,2281233,2,0.05629824397751311,0.06208560007854113,0.9067842447571297
reacher,4,0,1980152,2,0.011277964322044629,0.015450942408764247,0.7299208050667138
reacher,4,1,1980152,2,0.011796190297665056,0.015623038276305566,0.755050975939524
reacher,4,2,1980152,2,0.011082633241922197,0.01540449865558268,0.7194413456555944
cube,4,0,1980152,5,0.07132742286747457,0.08590848844618608,0.8302721204570461
cube,4,1,1980152,5,0.0737533143076482,0.08440806633924718,0.8737709262432797
cube,4,2,1980152,5,0.07395375463986538,0.08342817679919622,0.8864361835194495
