seed,mode,success_rate,successes,num_eval,classify_ms_per_step,out_dir
0,latent_cluster3,62.0,31,50,3.3162231616077076,experiments/real_gauge_drift/results/tworoom_success_rate_latent_kmeanspp_kmeanspp_R50_outer1_seed0
1,latent_cluster3,66.0,33,50,3.238197039653252,experiments/real_gauge_drift/results/tworoom_success_rate_latent_kmeanspp_kmeanspp_R50_outer1_seed1
2,latent_cluster3,57.99999999999999,29,50,3.3031855358634252,experiments/real_gauge_drift/results/tworoom_success_rate_latent_kmeanspp_kmeanspp_R50_outer1_seed2
3,latent_cluster3,56.00000000000001,28,50,3.2906701562797025,experiments/real_gauge_drift/results/tworoom_success_rate_latent_kmeanspp_kmeanspp_R50_outer1_seed3
4,latent_cluster3,60.0,30,50,3.188707417664673,experiments/real_gauge_drift/results/tworoom_success_rate_latent_kmeanspp_kmeanspp_R50_outer1_seed4
