eval_seed,train_seed,horizon,mode,success_rate,successes,num_eval,out_dir
0,625,long,global_ft_45ep,56.00000000000001,28,50,experiments/real_gauge_drift/results/tworoom_success_rate_global_ft_45ep_trainseed625_long_seed0
1,625,long,global_ft_45ep,68.0,34,50,experiments/real_gauge_drift/results/tworoom_success_rate_global_ft_45ep_trainseed625_long_seed1
2,625,long,global_ft_45ep,54.0,27,50,experiments/real_gauge_drift/results/tworoom_success_rate_global_ft_45ep_trainseed625_long_seed2
3,625,long,global_ft_45ep,57.99999999999999,29,50,experiments/real_gauge_drift/results/tworoom_success_rate_global_ft_45ep_trainseed625_long_seed3
4,625,long,global_ft_45ep,57.99999999999999,29,50,experiments/real_gauge_drift/results/tworoom_success_rate_global_ft_45ep_trainseed625_long_seed4
