eval_seed,method_partition_mean_percent,reference_partition_mean_percent,difference_percentage_points
0,60.666666666666664,58.666666666666664,2.0
1,69.33333333333333,67.33333333333333,2.0
2,62.666666666666664,57.333333333333336,5.333333333333329
3,58.0,56.0,2.0
4,58.666666666666664,58.666666666666664,0.0
