eval_seed,method_partition_mean_percent,reference_partition_mean_percent,difference_percentage_points
0,63.333333333333336,58.666666666666664,4.666666666666671
1,65.33333333333333,61.333333333333336,3.999999999999993
2,64.66666666666667,57.99999999999999,6.6666666666666785
3,56.0,52.666666666666664,3.3333333333333357
4,58.666666666666664,60.666666666666664,-2.0
