seed,mode,success_rate,successes,num_eval,out_dir
0,random_voronoi_k3,94.0,47,50,experiments/real_gauge_drift/results/tworoom_success_rate_random_voronoi_k3_seed0_trainseed42_short_evalseed0
1,random_voronoi_k3,92.0,46,50,experiments/real_gauge_drift/results/tworoom_success_rate_random_voronoi_k3_seed0_trainseed42_short_evalseed1
2,random_voronoi_k3,88.0,44,50,experiments/real_gauge_drift/results/tworoom_success_rate_random_voronoi_k3_seed0_trainseed42_short_evalseed2
3,random_voronoi_k3,90.0,45,50,experiments/real_gauge_drift/results/tworoom_success_rate_random_voronoi_k3_seed0_trainseed42_short_evalseed3
4,random_voronoi_k3,90.0,45,50,experiments/real_gauge_drift/results/tworoom_success_rate_random_voronoi_k3_seed0_trainseed42_short_evalseed4
