eval_seed,method_partition_mean_percent,reference_partition_mean_percent,difference_percentage_points
0,58.666666666666664,56.0,2.6666666666666643
1,68.0,65.33333333333333,2.6666666666666714
2,62.0,56.666666666666664,5.333333333333336
3,56.0,50.0,6.0
4,58.666666666666664,59.333333333333336,-0.6666666666666714
