eval_seed,train_seed,horizon,mode,success_rate,successes,num_eval,out_dir
0,0,long,global_ft_45ep,57.99999999999999,29,50,experiments/real_gauge_drift/results/tworoom_success_rate_global_ft_45ep_trainseed0_long_seed0
1,0,long,global_ft_45ep,66.0,33,50,experiments/real_gauge_drift/results/tworoom_success_rate_global_ft_45ep_trainseed0_long_seed1
2,0,long,global_ft_45ep,56.00000000000001,28,50,experiments/real_gauge_drift/results/tworoom_success_rate_global_ft_45ep_trainseed0_long_seed2
3,0,long,global_ft_45ep,52.0,26,50,experiments/real_gauge_drift/results/tworoom_success_rate_global_ft_45ep_trainseed0_long_seed3
4,0,long,global_ft_45ep,64.0,32,50,experiments/real_gauge_drift/results/tworoom_success_rate_global_ft_45ep_trainseed0_long_seed4
