eval_seed,train_seed,horizon,mode,success_rate,successes,num_eval,out_dir
0,0,short,global_ft_45ep,92.0,46,50,experiments/real_gauge_drift/results/tworoom_success_rate_global_ft_45ep_trainseed0_short_seed0
1,0,short,global_ft_45ep,92.0,46,50,experiments/real_gauge_drift/results/tworoom_success_rate_global_ft_45ep_trainseed0_short_seed1
2,0,short,global_ft_45ep,86.0,43,50,experiments/real_gauge_drift/results/tworoom_success_rate_global_ft_45ep_trainseed0_short_seed2
3,0,short,global_ft_45ep,92.0,46,50,experiments/real_gauge_drift/results/tworoom_success_rate_global_ft_45ep_trainseed0_short_seed3
4,0,short,global_ft_45ep,94.0,47,50,experiments/real_gauge_drift/results/tworoom_success_rate_global_ft_45ep_trainseed0_short_seed4
