seed,mode,success_rate,successes,num_eval,classify_ms_per_route_call,out_dir
0,latent_cluster3_mpc,62.0,31,50,1.1810156477615232,experiments/real_gauge_drift/results/tworoom_success_rate_latent_spectral_spectral_M20000_k30_P16_seed1_trainseed625_mpc_evalseed0
1,latent_cluster3_mpc,72.0,36,50,1.1248673992998461,experiments/real_gauge_drift/results/tworoom_success_rate_latent_spectral_spectral_M20000_k30_P16_seed1_trainseed625_mpc_evalseed1
2,latent_cluster3_mpc,62.0,31,50,1.180944985415363,experiments/real_gauge_drift/results/tworoom_success_rate_latent_spectral_spectral_M20000_k30_P16_seed1_trainseed625_mpc_evalseed2
3,latent_cluster3_mpc,54.0,27,50,1.137209655240525,experiments/real_gauge_drift/results/tworoom_success_rate_latent_spectral_spectral_M20000_k30_P16_seed1_trainseed625_mpc_evalseed3
4,latent_cluster3_mpc,60.0,30,50,1.1849895909428605,experiments/real_gauge_drift/results/tworoom_success_rate_latent_spectral_spectral_M20000_k30_P16_seed1_trainseed625_mpc_evalseed4
