seed,mode,success_rate,successes,num_eval,classify_ms_per_route_call,out_dir
0,latent_cluster3_mpc,60.0,30,50,1.2123032130109963,experiments/real_gauge_drift/results/tworoom_success_rate_latent_spectral_spectral_M20000_k30_P16_seed2_trainseed42_mpc_evalseed0
1,latent_cluster3_mpc,68.0,34,50,1.1325934849852743,experiments/real_gauge_drift/results/tworoom_success_rate_latent_spectral_spectral_M20000_k30_P16_seed2_trainseed42_mpc_evalseed1
2,latent_cluster3_mpc,66.0,33,50,1.2162758464346073,experiments/real_gauge_drift/results/tworoom_success_rate_latent_spectral_spectral_M20000_k30_P16_seed2_trainseed42_mpc_evalseed2
3,latent_cluster3_mpc,60.0,30,50,1.1486834564379282,experiments/real_gauge_drift/results/tworoom_success_rate_latent_spectral_spectral_M20000_k30_P16_seed2_trainseed42_mpc_evalseed3
4,latent_cluster3_mpc,60.0,30,50,1.1458965221160569,experiments/real_gauge_drift/results/tworoom_success_rate_latent_spectral_spectral_M20000_k30_P16_seed2_trainseed42_mpc_evalseed4
